row_id,name,startdate,enddate,description,eventattendancemode,page_url
421,31,108,106,2359,0,277
422,32,107,105,2358,0,277
423,47,58,56,2371,0,277
424,37,127,125,2351,0,277
425,38,88,86,2369,0,277
426,39,45,44,2388,0,277
427,33,47,45,2364,0,277
428,34,132,130,2366,0,277
429,36,134,132,2365,0,277
430,35,133,131,2365,0,277
431,51,79,77,2381,0,277
432,53,121,119,2373,0,277
433,54,155,153,2379,0,277
434,54,156,154,2379,0,277
435,55,158,156,2395,0,277
436,57,49,49,2355,0,277
437,58,44,42,2393,0,277
438,65,64,62,2411,0,277
439,70,166,163,2385,0,277
440,80,207,205,2363,0,277
441,80,208,206,2362,0,277
442,80,209,207,2362,0,277
443,142,206,204,2362,0,277
444,78,180,178,2387,0,277
445,75,38,38,2382,0,277
446,75,40,39,2380,0,277
447,75,41,40,2382,0,277
448,75,37,36,2382,0,277
449,82,8,8,2383,0,277
450,83,102,100,2389,0,277
451,87,171,169,2407,0,277
452,88,9,9,2345,0,277
453,90,196,194,2350,0,277
454,89,198,196,2350,0,277
455,91,197,195,2350,0,277
456,148,201,199,2400,0,277
457,150,230,228,2404,0,277
458,86,183,181,2392,0,277
459,153,128,126,2370,0,277
460,153,114,112,2370,0,277
461,152,105,103,2384,0,277
462,92,43,43,2394,0,277
463,92,39,41,2346,0,277
464,98,125,123,2396,0,277
465,103,148,146,2397,0,277
466,103,149,147,2397,0,277
467,104,147,145,2398,0,277
468,120,219,217,2378,0,277
469,120,218,216,2378,0,277
470,120,217,215,2378,0,277
471,105,3,3,2399,0,277
472,106,173,171,2374,0,277
473,113,160,158,2354,0,277
474,108,194,192,2390,0,277
475,111,193,191,2360,0,277
476,111,213,211,2403,0,277
477,112,15,15,2376,0,277
478,112,17,17,2376,0,277
479,112,16,16,2376,0,277
480,112,14,14,2376,0,277
481,135,161,159,2367,0,277
482,24,124,122,2402,0,277
483,24,123,121,2402,0,277
484,24,122,120,2402,0,277
485,134,33,33,2408,0,277
486,138,137,135,2372,0,277
487,18,235,233,2401,0,277
488,20,23,23,2409,0,277
489,70,166,163,1351,0,126
490,52,57,55,2698,0,101
491,75,41,40,1348,0,143
492,0,112,110,1582,0,285
493,5,31,31,1578,0,285
494,5,30,30,1578,0,285
495,11,111,109,1583,0,285
496,9,73,71,1602,0,285
497,21,2,2,1590,0,285
498,10,154,152,1605,0,285
499,14,142,139,1579,0,285
500,12,143,140,1579,0,285
501,13,141,138,1615,0,285
502,17,113,111,1611,0,285
