row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,page_url
175,9,5,5,0,10,0,0,0,979
176,2,10,10,0,1,0,0,0,1144
177,9,14,14,0,10,0,0,0,1144
178,9,11,11,0,10,0,0,0,1144
179,14,7,7,0,9,0,0,0,495
180,15,3,3,0,9,0,0,0,495
181,11,4,4,0,12,0,0,0,495
182,14,7,7,0,9,0,0,0,303
183,15,3,3,0,9,0,0,0,303
184,11,4,4,0,12,0,0,0,303
185,14,7,7,0,9,0,0,0,207
186,15,3,3,0,9,0,0,0,207
187,11,4,4,0,12,0,0,0,207
188,2,10,10,0,1,0,0,0,1177
189,9,14,14,0,10,0,0,0,1177
190,9,11,11,0,10,0,0,0,1177
191,2,10,10,0,1,0,0,0,472
192,9,14,14,0,10,0,0,0,472
193,9,11,11,0,10,0,0,0,472
194,2,10,10,0,1,0,0,0,694
195,9,14,14,0,10,0,0,0,694
196,9,11,11,0,10,0,0,0,694
197,14,7,7,0,9,0,0,0,458
198,15,3,3,0,9,0,0,0,458
199,11,4,4,0,12,0,0,0,458
200,2,10,10,0,1,0,0,0,579
201,9,14,14,0,10,0,0,0,579
202,9,11,11,0,10,0,0,0,579
203,2,10,10,0,1,0,0,0,1268
204,9,14,14,0,10,0,0,0,1268
205,9,11,11,0,10,0,0,0,1268
206,2,10,10,0,1,0,0,0,8
207,9,14,14,0,10,0,0,0,8
208,9,11,11,0,10,0,0,0,8
209,2,10,10,0,1,0,0,0,1181
210,9,14,14,0,10,0,0,0,1181
211,9,11,11,0,10,0,0,0,1181
212,14,7,7,0,9,0,0,0,341
213,15,3,3,0,9,0,0,0,341
214,11,4,4,0,12,0,0,0,341
215,2,10,10,0,1,0,0,0,77
216,9,14,14,0,10,0,0,0,77
217,9,11,11,0,10,0,0,0,77
218,2,10,10,0,1,0,0,0,1352
219,9,14,14,0,10,0,0,0,1352
220,9,11,11,0,10,0,0,0,1352
221,14,7,7,0,9,0,0,0,808
222,15,3,3,0,9,0,0,0,808
223,11,4,4,0,12,0,0,0,808
224,14,7,7,0,9,0,0,0,88
225,15,3,3,0,9,0,0,0,88
226,11,4,4,0,12,0,0,0,88
227,14,7,7,0,9,0,0,0,1339
