row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,organizer,page_url
47,1263,869,800,0,480,0,1,0,0,1578
48,3804,464,425,0,4066,0,1,0,0,4121
49,3065,960,890,0,1468,0,1,0,0,1892
50,356,672,611,0,1949,0,1,0,0,678
51,909,1036,965,0,2299,0,1,0,0,1110
52,1709,237,225,0,4093,0,1,0,0,2086
53,4731,1124,1053,0,4468,0,1,0,0,5124
54,4592,919,849,0,3766,0,1,0,0,5250
55,378,575,522,0,4302,0,1,0,0,699
56,3648,1050,979,0,2185,0,1,0,0,3904
57,4804,1172,1097,0,3080,0,1,0,0,5216
58,4935,546,501,0,2594,0,1,0,0,5775
59,532,877,807,0,794,0,1,0,0,823
60,4796,867,797,0,2110,0,1,0,0,5184
61,1984,821,755,0,487,0,1,0,0,2194
62,3327,1000,931,0,1542,0,1,0,0,6868
63,4804,1161,1087,0,3080,0,1,0,0,5185
64,2164,960,889,0,3671,0,1,0,0,1835
65,4730,743,682,0,4368,0,1,0,0,5120
66,5142,1029,959,0,2179,0,1,0,0,5740
67,2866,848,780,0,311,0,1,0,0,3354
68,2912,885,997,0,1475,0,1,0,0,3416
69,6529,1030,959,0,4468,0,1,0,0,7139
70,204,370,351,0,2425,0,1,0,0,544
71,2136,1096,1025,0,4056,0,1,0,0,2561
72,3846,780,714,0,712,0,1,0,0,6562
73,3432,901,831,0,4468,0,1,0,0,4156
74,4111,996,925,0,3144,0,1,0,0,4567
75,4797,829,762,0,2321,0,1,0,0,5179
76,1340,1044,973,0,1795,0,1,0,0,1696
77,2347,678,616,0,3981,0,1,0,0,2722
78,4210,481,437,0,919,0,1,0,0,4544
79,6579,1017,947,0,1619,0,1,0,0,7185
80,3933,1050,980,0,4136,0,1,0,0,4260
81,6633,452,444,0,1842,0,1,0,0,7290
82,1219,702,640,0,4166,0,1,0,0,1505
83,3869,940,870,0,2126,0,1,0,0,4192
84,1270,706,644,0,2325,0,1,0,0,1587
85,1438,420,387,0,588,0,1,0,0,1976
86,5316,332,319,0,553,0,1,0,0,6131
87,21,807,740,0,1451,0,1,0,0,6685
88,1905,1043,973,0,4468,0,1,0,0,6191
89,970,1147,1076,0,2035,0,1,0,0,1345
90,1616,947,877,0,550,0,1,0,0,3586
91,4796,944,874,0,2110,0,1,0,0,5177
92,5517,540,492,0,3109,0,1,0,0,6156
93,4734,1084,1011,0,3957,0,1,0,0,3382
94,1100,879,809,0,1681,0,1,0,0,1609
95,2486,882,814,0,1195,0,1,0,0,3035
96,3488,684,624,0,2039,0,1,0,0,3874
97,2557,1070,999,0,1873,0,1,0,0,3357
98,2789,617,559,0,2943,0,1,0,0,3190
99,3799,1063,992,0,2192,0,1,0,0,4110
100,5085,807,740,0,2910,0,1,0,0,5639
101,800,806,741,0,1486,0,1,0,0,1047
102,3708,890,820,0,2063,0,1,0,0,4005
103,4796,887,817,0,2110,0,1,0,0,5207
104,2929,1058,987,0,862,0,1,0,0,3434
105,3771,945,876,0,2701,0,1,0,0,4078
106,5171,555,506,0,3405,0,1,0,0,5876
107,2625,966,895,0,1290,0,1,0,0,3029
108,2579,799,732,0,1559,0,1,0,0,2889
109,916,974,903,0,4366,0,1,0,0,2466
110,2351,1057,987,0,1431,0,1,0,0,2731
111,2340,663,604,0,1000,0,1,0,0,2698
112,3772,236,222,0,2029,0,1,0,0,4080
113,5414,1029,958,0,2387,0,1,0,0,2612
114,3767,685,623,0,3393,0,1,0,0,4074
115,5671,870,800,0,1274,0,1,0,0,6363
116,223,698,636,0,869,0,1,0,0,561
117,710,1043,972,0,536,0,1,0,0,973
118,1075,926,856,0,3094,0,1,0,0,1529
119,1917,1043,972,0,2187,0,1,0,0,2048
120,2966,623,565,0,1540,0,1,0,0,3512
121,6104,938,868,0,342,0,1,0,0,6761
122,5407,659,598,0,3150,0,1,0,0,6491
123,5793,827,762,0,3927,0,1,0,0,6607
124,1447,1030,959,0,2951,0,1,0,0,1772
125,2148,1043,973,0,175,0,1,0,0,2662
126,4637,1070,999,0,1342,0,1,0,0,4961
127,638,767,1047,0,2079,0,1,0,0,901
128,6362,538,490,0,3473,0,1,0,0,7051
129,3951,567,517,0,2857,0,1,0,0,4349
130,1687,806,739,0,1412,0,1,0,0,7286
131,2398,1057,986,0,533,0,1,0,0,5350
132,2788,1036,965,0,3120,0,1,0,0,3189
133,2117,481,437,0,966,0,1,0,0,2533
134,13,780,714,0,1450,0,1,0,0,6676
135,1842,814,1012,0,710,0,1,0,0,2078
136,4328,1045,974,0,3312,0,1,0,0,4687
137,4631,961,891,0,1024,0,1,0,0,4955
138,4805,911,841,0,2113,0,1,0,0,5223
139,5421,829,762,0,3294,0,1,0,0,6592
140,103,1029,959,0,2372,0,1,0,0,427
141,2963,705,643,0,1018,0,1,0,0,3506
142,3936,1049,980,0,2931,0,1,0,0,4344
143,1869,785,718,0,681,0,1,0,0,2437
144,2891,801,734,0,2555,0,1,0,0,3400
145,4721,707,701,0,3912,0,1,0,0,5106
146,5102,1004,933,0,244,0,1,0,0,5695
147,1253,1036,965,0,871,0,1,0,0,1570
148,2868,727,666,0,1090,0,1,0,0,3378
149,5405,989,918,0,3148,0,1,0,0,6489
150,6682,841,776,0,4398,0,1,0,0,7389
151,5496,399,368,0,2293,0,1,0,0,5893
152,2734,786,719,0,1099,0,1,0,0,3162
153,3987,1028,957,0,2641,0,1,0,0,4386
