row_id,name,startdate,enddate,location,description,image,performer,page_url
3189,917,1212,1239,0,797,2163,0,419
3190,929,1389,1427,0,3950,7,0,491
3191,4822,772,791,0,2741,2361,0,1469
3192,586,628,649,0,4040,1197,0,2782
3193,702,422,430,0,112,888,0,4339
3194,147,366,364,0,2105,937,0,4288
3195,4774,1565,1610,0,3458,1382,0,324
3196,908,1630,1669,0,3660,1229,0,2354
3197,2662,740,759,0,2893,347,0,4602
3198,2899,1740,1782,0,605,1419,0,885
3199,3017,608,627,0,4672,1756,0,2798
3200,4156,772,791,0,3811,2361,0,4706
3201,1078,1026,1053,0,3912,2133,0,430
3202,4739,605,622,0,4270,2361,0,2781
3203,1680,709,729,0,375,2194,0,4593
3204,263,834,855,0,664,1526,0,266
3205,1510,1280,1314,0,1803,38,0,5260
3206,3959,772,791,0,2717,2361,0,1470
3207,2086,820,841,0,2678,2361,0,3675
3208,3521,1681,1722,0,118,1190,0,875
3209,173,772,791,0,3251,2361,0,1692
3210,3541,612,633,0,407,2176,0,4469
3211,3180,819,840,0,1964,2361,0,3598
3212,4056,819,840,0,2950,2361,0,3520
3213,4639,772,791,0,3307,2361,0,4794
3214,3541,644,666,0,406,2361,0,1346
3215,3953,700,719,0,1602,2361,0,2954
3216,2858,819,840,0,2333,2361,0,3443
3217,4603,1765,1813,0,562,538,0,117
3218,2053,588,605,0,865,1980,0,2736
3219,4229,527,546,0,957,2235,0,1180
3220,3985,772,791,0,1526,2361,0,1566
3221,2743,819,840,0,1813,2361,0,1943
3222,1412,963,990,0,86,2303,0,2182
3223,1039,1466,1526,0,591,627,0,2364
3224,3715,1219,1255,0,2641,153,0,2208
3225,830,742,761,0,644,448,0,252
3226,312,72,72,0,4419,341,0,950
3227,4412,772,791,0,4967,2361,0,3106
3228,4051,772,791,0,1150,2361,0,3245
3229,2113,819,840,0,2561,2361,0,3603
3230,1119,641,658,0,3223,204,0,1198
3231,2559,645,665,0,3606,2361,0,4458
3232,248,259,259,0,366,802,0,114
3233,3996,1307,1342,0,4058,1235,0,2405
3234,278,772,791,0,1458,2361,0,3195
3235,2707,627,644,0,2121,2059,0,2883
3236,474,1494,1534,0,687,1825,0,853
3237,3530,51,51,0,2425,433,0,5
3238,1396,1253,1601,0,4635,1288,0,4008
3239,2913,819,840,0,3399,2361,0,2038
3240,1571,690,711,0,873,1077,0,2923
3241,2949,811,833,0,2048,2361,0,1806
3242,2069,772,791,0,4161,2361,0,3307
3243,31,654,674,0,2474,2178,0,1212
3244,3619,772,791,0,4202,2361,0,3233
3245,3461,619,638,0,1164,1511,0,1293
3246,4099,819,840,0,1938,2361,0,1875
3247,2530,1698,1739,0,1208,566,0,323
3248,2466,772,791,0,1231,2361,0,3069
3249,2914,772,791,0,4403,2361,0,4642
3250,616,1343,1376,0,3599,1216,0,614
3251,1287,1391,1426,0,4603,1459,0,684
3252,3626,820,841,0,1816,2361,0,5130
3253,246,177,178,0,4814,2322,0,4250
3254,136,694,715,0,635,445,0,234
3255,3347,497,509,0,1179,2052,0,1091
3256,2899,1738,1781,0,732,1419,1,2452
3257,4571,772,791,0,3288,2361,0,3237
3258,347,868,899,0,437,1336,0,366
3259,157,1749,1795,0,732,1625,1,928
3260,3234,436,438,0,1123,113,0,2637
3261,4085,819,840,0,3749,2361,0,3442
3262,2407,820,841,0,2136,2361,0,3677
3263,3074,87,87,0,4025,1659,0,957
3264,587,1065,1092,0,303,1749,0,348
3265,4247,1684,1725,0,732,1452,1,4219
3266,1785,1375,1410,0,4891,1049,0,4159
3267,854,1290,1323,0,4496,2023,0,2303
3268,3794,819,840,0,2369,2361,0,1876
3269,3909,406,409,0,4487,722,0,2563
3270,199,204,203,0,4798,2076,0,986
3271,2247,699,720,0,1788,2361,0,2960
3272,1219,611,629,0,4290,927,0,4488
3273,408,868,891,0,482,461,0,351
3274,1972,772,791,0,4591,2361,0,1708
3275,2800,644,666,0,2439,915,0,2889
3276,4599,819,840,0,3632,2361,0,1901
3277,147,366,364,0,2104,937,0,2581
3278,4034,1307,1342,0,4057,1235,0,2437
3279,3444,1276,1310,0,2450,945,0,493
3280,2183,1460,1505,0,4089,540,0,827
3281,4142,771,789,0,4589,2361,0,1459
3282,1960,767,785,0,250,1510,0,2993
3283,4152,819,840,0,3542,2361,0,3416
3284,546,1297,1457,0,2451,275,0,3982
3285,4526,1284,1320,0,2522,1140,0,3919
3286,2728,644,666,0,2308,1615,0,2917
3287,4834,819,840,0,1120,2361,0,3559
3288,423,1479,1521,0,997,845,0,2436
3289,625,1721,1763,0,3933,26,0,4029
3290,2444,1201,1233,0,1857,1129,0,5255
3291,3369,819,840,0,4054,2361,0,1957
3292,1156,484,497,0,788,1438,0,4384
3293,4682,772,791,0,4341,2361,0,4839
3294,851,1513,1551,0,1009,1291,0,638
3295,3021,699,720,0,2755,2361,0,1379
3296,2612,505,519,0,3023,2190,0,1120
3297,2901,772,791,0,4452,2361,0,1712
3298,4469,819,840,0,3625,2361,0,3514
3299,3824,772,791,0,4968,2361,0,3023
3300,2215,772,791,0,1462,2361,0,3335
3301,4855,1031,1057,0,564,1782,0,2124
3302,1093,1580,1636,0,3063,2126,0,2373
3303,239,502,517,0,358,741,0,4364
3304,2628,239,239,0,1173,2361,0,96
3305,2917,1173,1203,0,4240,2310,0,453
3306,2881,809,831,0,3631,2361,0,3369
3307,677,1024,1052,0,1348,1040,0,5208
3308,4300,772,791,0,2197,2361,0,4747
3309,3332,819,840,0,3330,2361,0,1960
3310,2864,819,840,0,2480,2361,0,3653
3311,2099,508,522,0,1002,326,0,2616
3312,4337,772,791,0,3169,2361,0,4701
3313,4267,1464,1509,0,302,1194,0,516
3314,2010,909,936,0,1081,1340,0,3779
3315,2776,771,789,0,1900,2361,0,4615
3316,4440,699,720,0,2807,2361,0,1388
3317,4770,495,508,0,991,60,0,2691
3318,2942,408,405,0,2644,488,0,2570
3319,3788,1284,1320,0,3992,36,0,471
3320,32,686,707,0,487,2122,0,4514
3321,888,1434,1469,0,880,20,0,686
3322,3413,772,791,0,2353,2361,0,3151
3323,1696,664,686,0,4002,1512,0,1353
3324,4664,819,840,0,2130,2361,0,1926
3325,1636,575,591,0,1292,90,0,220
3326,102,53,53,0,2835,234,0,2468
3327,4617,772,791,0,1409,2361,0,4688
3328,1666,1354,1385,0,4506,565,0,801
3329,2027,772,791,0,3249,2361,0,1511
3330,1775,672,694,0,953,415,0,2914
3331,4277,772,791,0,4186,2361,0,1740
3332,4840,819,840,0,2275,2361,0,1969
3333,792,828,849,0,450,1959,0,3734
3334,2882,772,791,0,2918,2361,0,4652
3335,4280,797,818,0,892,1015,0,292
3336,2972,699,720,0,2772,2361,0,2959
3337,4181,820,841,0,2065,2361,0,2080
3338,946,196,195,0,4461,848,0,79
3339,3646,326,327,0,3945,1225,0,4263
3340,3294,772,791,0,4383,2361,0,4693
3341,390,107,107,0,2897,1453,0,962
3342,2064,943,973,0,3609,2350,0,3763
3343,3982,772,791,0,1437,2361,0,4731
3344,788,679,698,0,144,1719,0,1290
3345,2973,699,720,0,1785,2361,0,2925
3346,3032,699,720,0,2803,2361,0,4580
3347,1980,819,840,0,2906,2361,0,3470
3348,454,544,561,0,512,2361,0,2620
3349,986,1697,1736,0,732,2233,1,4200
3350,282,1804,1853,0,604,904,0,1370
3351,2997,699,720,0,2757,2361,0,1399
3352,402,579,596,0,4071,2043,0,2602
3353,2277,819,840,0,2157,2361,0,3433
3354,2783,772,791,0,2927,2361,0,4711
3355,3348,772,791,0,1973,2361,0,1671
3356,453,545,562,0,523,2361,0,1094
3357,3574,898,923,0,3149,2266,0,1779
3358,4674,1055,1082,0,1798,2039,0,3827
3359,2911,820,841,0,2785,2361,0,2081
3360,4384,1301,1335,0,147,662,0,5243
3361,1207,1433,1475,0,3997,2196,0,810
3362,1339,395,393,0,872,728,0,2643
3363,2755,820,841,0,3384,2361,0,2053
3364,2011,1473,1522,0,1767,53,0,3970
3365,4127,640,664,0,209,2361,0,2904
3366,2008,772,791,0,3281,2361,0,3105
3367,4144,811,833,0,2720,2361,0,1789
3368,1759,1299,1333,0,4438,1757,0,503
3369,3050,772,791,0,4742,2361,0,3052
3370,2685,819,840,0,2110,2361,0,3517
3371,2415,772,791,0,2908,2361,0,3352
3372,1276,931,958,0,4354,1189,0,5167
3373,3793,615,636,0,4704,2361,0,1273
3374,4335,819,840,0,2597,2361,0,1831
3375,1863,657,677,0,4808,1056,0,2837
3376,3210,819,840,0,1182,2361,0,3608
3377,3830,819,840,0,2533,2361,0,4903
3378,1386,668,688,0,2870,703,0,2742
3379,4394,1776,1824,0,4519,1965,0,2293
3380,1632,1511,1553,0,4510,277,0,794
3381,3567,842,863,0,4746,2361,0,3746
3382,806,1611,1649,0,1722,1400,0,3961
3383,1733,1258,1294,0,3698,9,0,2253
3384,2633,825,846,0,4374,2361,0,5135
3385,3078,640,664,0,2477,1363,0,4540
3386,3698,772,791,0,1848,2361,0,1504
3387,1368,454,460,0,878,649,0,4394
3388,2404,820,841,0,3615,2361,0,3688
3389,2479,772,791,0,1523,2361,0,4746
3390,1600,1209,1241,0,4485,1169,0,2271
3391,3023,819,840,0,3777,2361,0,3428
3392,2763,1661,1702,0,109,1370,0,879
3393,973,247,247,0,2438,1146,0,998
3394,1576,1052,1081,0,4867,1357,0,340
3395,829,1761,1811,0,732,1188,1,4210
3396,1647,1433,1475,0,4233,2041,0,790
3397,3647,326,327,0,3944,1225,0,2538
3398,2298,772,791,0,2350,2361,0,3086
3399,3210,820,841,0,4751,2361,0,3684
3400,2752,772,791,0,2671,2361,0,3230
3401,3100,819,840,0,4837,2361,0,1824
3402,2211,481,489,0,5005,2116,0,1178
3403,4107,1792,1841,0,106,2325,0,3966
3404,3388,625,641,0,1027,468,0,4511
3405,751,1748,1793,0,574,2011,0,528
3406,2898,1121,1151,0,1135,258,0,2113
3407,1315,1292,1326,0,3428,1475,0,525
3408,433,177,177,0,501,1223,0,2506
3409,4252,1754,1800,0,732,837,1,5273
3410,4036,772,791,0,2508,2361,0,3108
3411,4649,419,424,0,4710,465,0,4340
3412,4334,599,617,0,1704,2361,0,1216
3413,1255,921,945,0,1588,840,0,386
3414,4834,819,840,0,2331,2361,0,3589
3415,485,1439,1481,0,4818,826,0,4137
3416,4139,261,261,0,275,144,0,2517
3417,3919,1696,1735,0,732,982,1,2390
3418,1235,722,741,0,938,1297,0,4597
3419,2840,819,840,0,2336,2361,0,3427
3420,4859,110,110,0,1841,432,0,2489
3421,2580,771,789,0,2939,2361,0,3008
3422,3835,664,686,0,4020,2168,0,2900
3423,815,1387,1420,0,856,1842,0,4135
3424,2528,398,402,0,1055,2146,0,2572
3425,3347,497,509,0,1179,2052,0,4313
3426,3165,772,791,0,2292,2361,0,4850
3427,3934,1586,1621,0,2859,1327,0,811
3428,3209,819,840,0,4379,2361,0,5017
3429,3035,820,841,0,4945,2361,0,3707
3430,4376,619,638,0,2289,145,0,4496
3431,1319,1152,1182,0,2845,1088,0,5222
3432,377,923,948,0,1822,285,0,394
3433,1038,1604,1640,0,1797,1879,0,844
3434,4347,772,791,0,1557,2361,0,1595
3435,3191,820,841,0,1124,2361,0,2057
3436,4413,819,840,0,2343,2361,0,3409
3437,3010,772,791,0,4372,2361,0,3021
3438,3547,1442,1486,0,4866,457,0,863
3439,1128,1531,1570,0,899,1873,0,864
3440,3512,33,33,0,1817,311,0,2474
3441,3379,1070,1097,0,4010,2236,0,2198
3442,3487,772,791,0,3253,2361,0,1638
3443,1175,1644,1685,0,2990,1674,0,3890
3444,3864,820,841,0,1736,2361,0,3681
3445,1985,1799,1848,0,95,1097,0,582
3446,1190,1023,1051,0,597,1546,0,2921
3447,276,1220,1259,0,4511,1831,0,2301
3448,152,957,984,0,654,1167,0,3769
3449,3004,772,791,0,2010,2361,0,1487
3450,4839,819,840,0,4442,2361,0,4998
3451,1935,819,840,0,3750,2361,0,5026
3452,4484,820,841,0,2697,2361,0,5118
3453,975,305,305,0,3712,667,0,133
3454,1565,263,263,0,1342,579,0,113
3455,763,1613,1651,0,2081,1997,0,4071
3456,865,1796,1845,0,2965,2165,0,512
3457,1786,1376,1410,0,1730,2302,0,4045
3458,1776,90,90,0,4260,1305,0,28
3459,2201,430,437,0,1662,1191,0,2573
3460,2879,160,161,0,3971,1979,0,34
3461,4064,1610,1648,0,76,1420,0,1001
3462,1373,1335,1368,0,1947,1310,0,498
3463,1142,1712,1751,0,963,1121,0,511
3464,2598,1473,1522,0,338,2035,0,2355
3465,2313,481,490,0,772,1456,0,2715
3466,4447,772,791,0,1993,2361,0,1514
3467,4809,529,542,0,701,388,0,4356
3468,156,335,335,0,465,1532,0,146
3469,3419,772,791,0,4389,2361,0,1577
3470,911,1685,1766,0,732,696,1,932
3471,1849,181,180,0,1213,1574,0,2508
3472,3737,147,148,0,3981,2361,0,2495
3473,1836,751,769,0,1184,1797,0,2989
