row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
283,4,126,123,0,28,0,0,0,0,94
284,14,131,127,0,18,0,0,0,0,94
285,18,120,122,0,88,0,0,0,0,207
286,18,120,122,0,88,0,0,0,0,207
287,4,126,123,0,28,0,0,0,0,207
288,14,131,127,0,18,0,0,0,0,207
289,53,93,88,0,24,0,0,0,0,1183
290,20,96,91,0,20,0,0,0,0,1183
291,15,110,103,0,14,0,0,0,0,1183
292,18,120,122,0,88,0,0,0,0,1183
293,18,120,122,0,88,0,0,0,0,1183
294,4,126,123,0,28,0,0,0,0,1183
295,14,131,127,0,18,0,0,0,0,1183
296,53,93,88,0,24,0,0,0,0,948
297,20,96,91,0,20,0,0,0,0,948
298,15,110,103,0,14,0,0,0,0,948
299,18,120,122,0,88,0,0,0,0,948
300,18,120,122,0,88,0,0,0,0,948
301,4,126,123,0,28,0,0,0,0,948
302,14,131,127,0,18,0,0,0,0,948
303,53,93,88,0,24,0,0,0,0,914
304,20,96,91,0,20,0,0,0,0,914
305,15,110,103,0,14,0,0,0,0,914
306,18,120,122,0,88,0,0,0,0,914
307,18,120,122,0,88,0,0,0,0,914
308,4,126,123,0,28,0,0,0,0,914
309,14,131,127,0,18,0,0,0,0,914
310,20,96,91,0,21,0,0,0,0,454
311,53,93,88,0,24,0,0,0,0,765
312,20,96,91,0,20,0,0,0,0,765
313,15,110,103,0,14,0,0,0,0,765
314,18,120,122,0,88,0,0,0,0,765
315,18,120,122,0,88,0,0,0,0,765
316,4,126,123,0,28,0,0,0,0,765
317,14,131,127,0,18,0,0,0,0,765
318,53,93,88,0,24,0,0,0,0,163
319,20,96,91,0,20,0,0,0,0,163
320,15,110,103,0,14,0,0,0,0,163
321,18,120,122,0,88,0,0,0,0,163
322,18,120,122,0,88,0,0,0,0,163
323,4,126,123,0,28,0,0,0,0,163
324,14,131,127,0,18,0,0,0,0,163
325,53,93,88,0,24,0,0,0,0,1092
326,20,96,91,0,20,0,0,0,0,1092
327,15,110,103,0,14,0,0,0,0,1092
328,18,120,122,0,88,0,0,0,0,1092
329,18,120,122,0,88,0,0,0,0,1092
330,4,126,123,0,28,0,0,0,0,1092
331,14,131,127,0,18,0,0,0,0,1092
332,53,93,88,0,24,0,0,0,0,537
333,20,96,91,0,20,0,0,0,0,537
334,15,110,103,0,14,0,0,0,0,537
335,18,120,122,0,88,0,0,0,0,537
336,18,120,122,0,88,0,0,0,0,537
337,4,126,123,0,28,0,0,0,0,537
