row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,url,mainentityofpage,page_url
5880,365,4743,4983,1,5472,0,0,1,0,0,5166
5881,3297,1518,1569,0,1325,0,0,1,0,0,6184
5882,2454,7111,7407,1,2753,0,0,1,0,0,6538
5883,4563,2511,2642,0,5960,0,0,1,0,0,9561
5884,1448,11034,11544,0,687,0,0,1,0,0,14719
5885,5993,2270,2390,0,3184,0,0,0,0,0,16540
5886,3087,10380,10849,0,5898,0,0,1,0,0,2271
5887,1837,7990,8324,0,1786,0,0,1,0,0,13539
5888,3277,1608,1687,1,5960,0,0,1,0,0,16279
5889,8835,9339,9725,0,1796,0,0,0,0,0,876
5890,6175,11156,11673,0,2493,0,0,1,0,0,16431
5891,9163,4403,4646,1,5084,0,0,1,0,0,16783
5892,5983,1445,1484,0,4520,0,0,0,0,0,14066
5893,10176,1023,1052,0,5960,0,0,1,0,0,12252
5894,503,9083,9466,0,2945,0,0,0,0,0,1268
5895,6081,11063,11574,0,5632,0,0,0,0,0,3106
5896,8996,12673,13164,1,1251,0,0,1,0,0,4157
5897,5067,5466,5719,0,572,0,0,1,0,0,8622
5898,4134,2566,2699,0,5960,0,0,1,0,0,8974
5899,7921,745,747,0,5960,0,0,1,0,0,11198
5900,5924,7485,7802,0,4619,0,0,0,0,0,3036
5901,10457,10704,11199,0,4990,0,0,0,0,0,4856
5902,1091,5199,5453,1,4003,0,0,0,0,0,12496
5903,6192,3146,3317,0,4020,0,0,0,0,0,12855
5904,6215,2046,2119,0,3929,0,0,1,0,0,12882
5905,2503,6010,6287,0,2548,0,0,1,0,0,13550
5906,9568,652,640,0,4093,0,0,1,0,0,14248
5907,3079,4701,4936,0,1232,0,0,1,0,0,13553
5908,1768,2393,2505,0,3788,0,0,1,0,0,7414
5909,5970,996,1021,0,5960,0,0,1,0,0,10286
5910,1234,4168,4392,0,5960,0,0,1,0,0,7089
5911,9264,4255,4484,0,5960,0,0,1,0,0,11762
5912,9503,2967,3127,0,5960,0,0,1,0,0,11840
5913,10175,9600,10010,1,5960,0,0,0,0,0,12250
5914,3697,2254,2353,0,3796,0,0,1,0,0,8375
5915,9503,4011,4235,0,5960,0,0,1,0,0,11835
5916,10093,7389,7688,1,2153,0,0,1,0,0,12175
5917,3704,8932,9315,0,5268,0,0,0,0,0,2713
5918,5298,864,871,0,5960,0,0,1,0,0,9946
5919,5937,10115,10577,1,5960,0,0,0,0,0,10263
5920,3316,9310,9690,0,3176,0,0,1,0,0,13586
5921,9437,7212,7512,0,2396,0,0,0,0,0,4416
5922,10397,12034,12507,0,2746,0,0,0,0,0,4762
5923,10100,7450,7756,1,2153,0,0,1,0,0,12182
5924,3489,11823,12304,0,2009,0,0,0,0,0,356
5925,8838,1260,1293,0,1761,0,0,0,0,0,886
5926,535,6400,6689,1,4404,0,0,1,0,0,5845
5927,8831,681,673,0,2842,0,0,1,0,0,14204
5928,2698,4374,4610,0,4325,0,0,0,0,0,13469
5929,7565,918,928,0,5960,0,0,1,0,0,11065
5930,8249,1850,1909,0,3790,0,0,1,0,0,11353
5931,8594,762,766,0,5960,0,0,1,0,0,11468
5932,3819,3113,3279,0,5960,0,0,1,0,0,8776
5933,10102,1890,1953,0,3727,0,0,1,0,0,12185
5934,5553,3138,3307,0,1003,0,0,0,0,0,12754
5935,4867,2013,2082,1,5960,0,0,1,0,0,8447
5936,3738,9532,9933,1,5960,0,0,0,0,0,8403
5937,1846,4613,4850,0,1258,0,0,1,0,0,15758
5938,4391,2488,2614,0,5960,0,0,1,0,0,9321
5939,8082,11103,11615,0,5960,0,0,0,0,0,11265
5940,8603,9802,10235,1,5960,0,0,0,0,0,11476
5941,3057,4596,4837,0,1849,0,0,1,0,0,15843
5942,5609,480,475,0,3231,0,0,0,0,0,418
5943,6577,64,64,0,4504,0,0,1,0,0,611
5944,8481,5097,5351,0,1804,0,0,0,0,0,844
5945,3961,5797,6065,0,5960,0,0,1,0,0,8905
5946,5628,2266,2366,0,3765,0,0,1,0,0,10037
5947,7355,1787,1847,1,5201,0,0,1,0,0,15475
5948,7672,7841,8163,1,1276,0,0,1,0,0,11128
5949,3749,709,721,0,4001,0,0,0,0,0,12669
5950,8126,8965,9353,0,4061,0,0,0,0,0,3812
5951,7792,5864,6141,0,3287,0,0,1,0,0,5459
5952,9922,6124,6400,0,1721,0,0,0,0,0,13508
5953,6970,12120,12601,0,134,0,0,0,1,1,6061
5954,5648,8513,8873,0,5960,0,0,1,0,0,10064
5955,9856,4673,4913,0,3995,0,0,0,0,0,13383
5956,3481,1923,1998,0,2633,0,0,0,0,0,342
5957,6530,10916,11420,0,1923,0,0,1,0,0,3235
5958,5596,6428,6716,0,1507,0,0,1,0,0,13685
5959,7591,1667,1724,0,3939,0,0,0,0,0,13153
5960,5265,12314,12799,0,2809,0,0,1,0,0,2814
5961,9138,10368,10838,0,5102,0,0,0,0,0,4254
5962,10050,8536,8895,0,4635,0,0,1,0,0,4610
