row_id,name,startdate,location,page_url
10636,5749,2274,0,5741
10637,6098,1421,0,6382
10638,11994,9582,0,12299
10639,4482,6449,0,4425
10640,6437,11902,0,6431
10641,8572,2528,0,8626
10642,8736,4049,0,8603
10643,956,7663,0,886
10644,3883,9795,0,3699
10645,1503,1480,0,1515
10646,5800,1450,0,5776
10647,5211,8327,0,5524
10648,5580,1018,0,5635
10649,6210,5533,0,6152
10650,4661,922,0,4796
10651,5633,5958,0,5650
10652,2562,9157,0,2531
10653,7531,4858,0,7543
10654,1411,404,0,1422
10655,4132,971,0,4067
10656,10758,6383,0,10725
10657,12283,10766,0,12209
10658,3110,474,0,3138
10659,10945,10610,0,10940
10660,1207,10066,0,1187
10661,1653,5235,0,1682
10662,2340,2819,0,2268
10663,3659,11289,0,3358
10664,4611,11112,0,4643
10665,5395,1461,0,5408
10666,8069,11310,0,8026
10667,12676,10584,0,12676
10668,8097,6893,0,8032
10669,3393,685,0,3811
10670,2287,3628,0,2222
10671,8937,10386,0,8964
10672,11709,8908,0,11683
10673,1214,736,0,1174
10674,4145,5749,0,4035
10675,8699,11104,0,8826
10676,392,3461,0,338
10677,519,1800,0,487
10678,1401,318,0,1432
10679,1817,618,0,1861
10680,4181,5692,0,4134
10681,4284,4287,0,4237
10682,5492,3036,0,5485
10683,11230,7484,0,11182
10684,8391,3805,0,8345
10685,10368,163,0,12853
10686,824,700,0,747
10687,7976,3343,0,7929
10688,498,594,0,453
10689,5726,10776,0,6057
10690,8458,2512,0,8410
10691,3421,7043,0,4082
10692,4285,4953,0,4240
10693,654,297,0,605
10694,7337,9341,0,7341
10695,284,1453,0,156
10696,2151,4008,0,2086
10697,2963,754,0,2972
10698,5465,5047,0,5475
10699,5770,855,0,5767
10700,6964,1749,0,7014
10701,8242,3872,0,8202
10702,10627,11408,0,10674
10703,10807,7264,0,10768
10704,11676,9074,0,11635
10705,10645,7652,0,10701
10706,8778,10519,0,8651
10707,345,1612,0,234
10708,10487,12224,0,10486
10709,10742,7627,0,10662
10710,10983,10341,0,10971
10711,10192,11900,0,10369
10712,12315,7008,0,12239
10713,703,10665,0,681
10714,8632,2673,0,8769
10715,2178,8104,0,2100
10716,5791,2348,0,5787
10717,5829,1628,0,5823
10718,684,8972,0,607
10719,776,10949,0,712
10720,3045,1471,0,3033
10721,4370,3817,0,4323
10722,5828,1759,0,5824
10723,6197,10606,0,6137
10724,8116,3235,0,8076
10725,2731,1797,0,2679
10726,9159,5484,0,9065
10727,11992,11706,0,12301
10728,10422,11768,0,12865
10729,1615,5557,0,1640
10730,705,307,0,653
10731,12188,11644,0,12111
10732,3388,1949,0,3839
10733,6940,4524,0,7000
10734,11013,12492,0,11006
10735,2136,4307,0,2041
10736,3313,1934,0,3569
10737,8917,4615,0,8947
10738,9500,5873,0,9436
10739,9359,6967,0,9572
10740,2050,5940,0,1969
10741,10026,12754,0,10029
10742,547,1985,0,511
10743,2685,9617,0,2633
10744,6489,6100,0,6490
10745,4134,1111,0,4036
10746,4789,4229,0,4741
10747,3499,2986,0,4577
10748,7729,4195,0,7787
10749,8501,5772,0,8445
10750,5183,9511,0,5497
10751,830,12109,0,809
10752,3921,11356,0,3742
10753,8775,12368,0,8670
10754,11107,6414,0,11311
10755,6785,8935,0,6856
10756,9903,4198,0,9916
10757,12726,9489,0,12697
10758,6017,7081,0,5985
10759,8328,7766,0,8275
10760,6422,2393,0,6445
10761,9284,12059,0,9220
10762,3904,393,0,3745
10763,10823,9958,0,10773
10764,2564,677,0,2532
10765,3449,914,0,4468
10766,4336,1362,0,4289
10767,4372,1898,0,4328
10768,9054,11703,0,9265
10769,1408,1243,0,1437
10770,8689,5381,0,8835
10771,8957,11358,0,8986
10772,10535,12077,0,10549
10773,910,2419,0,876
10774,5834,4686,0,5841
10775,6236,1971,0,6186
10776,5950,2927,0,5964
10777,1683,2284,0,1724
10778,2753,4117,0,2751
10779,3817,11597,0,3660
10780,10842,12424,0,10805
10781,10991,6376,0,10990
10782,2118,1237,0,2051
10783,4054,11765,0,3979
10784,4218,1247,0,4149
10785,4922,11181,0,4896
10786,29,9679,0,30
10787,6124,7267,0,6643
10788,8428,6097,0,8382
10789,9540,12726,0,9525
10790,11072,6367,0,11238
10791,11684,11156,0,11663
10792,414,4324,0,397
10793,4150,379,0,4075
10794,9118,8945,0,9017
10795,12632,7529,0,12608
10796,9723,5596,0,9737
10797,286,3533,0,144
10798,12528,11007,0,12481
10799,7330,114,0,12802
10800,2533,10956,0,2505
10801,10643,11517,0,10695
10802,2097,2335,0,2029
10803,2988,414,0,2998
10804,7909,3734,0,8514
10805,2613,3453,0,2599
10806,5653,5825,0,5688
10807,9119,4437,0,9018
10808,11646,8354,0,11598
10809,12026,10640,0,11932
10810,2833,857,0,2798
10811,4044,770,0,3943
10812,7528,5583,0,7541
10813,7539,8050,0,7581
10814,7540,9466,0,7583
10815,9780,8046,0,9787
10816,5819,4078,0,5837
10817,5844,12198,0,5828
10818,11835,12406,0,11819
10819,7165,4878,0,7286
10820,309,829,0,216
10821,711,2642,0,665
10822,5809,9803,0,5778
10823,1014,5808,0,981
10824,9692,12124,0,9794
