row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,page_url
214,97,111,102,0,73,0,0,0,0,633
215,19,118,108,1,174,0,0,0,0,633
216,16,126,116,0,168,0,0,0,0,633
217,80,110,102,0,68,0,0,0,0,633
218,97,112,102,0,73,0,0,0,0,633
219,80,111,102,0,68,0,0,0,0,633
220,52,112,102,0,141,0,0,0,0,633
221,79,113,103,0,144,0,0,0,0,633
222,121,117,107,0,171,0,0,0,0,633
223,159,118,108,1,175,0,0,0,0,633
224,6,109,99,0,135,0,0,0,0,633
225,36,119,109,0,154,0,0,0,0,633
226,111,111,101,0,140,0,0,0,0,633
227,79,113,103,0,144,0,0,0,0,1111
228,118,101,92,1,120,0,0,0,0,1111
229,88,113,103,0,145,0,0,0,0,1111
230,55,96,91,1,33,0,0,0,0,1111
231,167,114,104,1,152,0,0,0,0,1111
232,155,93,88,1,143,0,0,0,0,1111
233,55,97,91,1,33,0,0,0,0,1111
234,24,90,86,0,69,0,0,0,0,1111
235,55,99,91,1,33,0,0,0,0,1111
236,55,98,91,1,33,0,0,0,0,1111
237,58,110,100,1,137,0,0,0,0,1111
238,107,103,95,0,125,0,0,0,0,1111
239,3,100,91,0,116,0,0,0,0,1111
240,107,104,95,0,125,0,0,0,0,1111
241,24,88,86,0,69,0,0,0,0,1111
242,65,107,98,1,132,0,0,0,0,1111
243,55,100,91,1,33,0,0,0,0,1111
244,24,89,86,0,69,0,0,0,0,1111
245,24,87,86,0,69,0,0,0,0,1111
246,0,92,87,0,122,0,0,0,0,1111
247,107,103,95,0,125,0,0,0,0,136
248,79,113,103,0,144,0,0,0,0,136
249,155,93,88,1,143,0,0,0,0,136
250,107,104,95,0,125,0,0,0,0,136
251,24,88,86,0,69,0,0,0,0,136
252,3,100,91,0,116,0,0,0,0,136
253,88,113,103,0,145,0,0,0,0,136
254,24,89,86,0,69,0,0,0,0,136
255,55,96,91,1,33,0,0,0,0,136
256,0,92,87,0,122,0,0,0,0,136
257,55,100,91,1,33,0,0,0,0,136
258,55,97,91,1,33,0,0,0,0,136
259,55,98,91,1,33,0,0,0,0,136
260,55,99,91,1,33,0,0,0,0,136
261,24,87,86,0,69,0,0,0,0,136
262,118,101,92,1,120,0,0,0,0,136
263,65,107,98,1,132,0,0,0,0,136
264,24,90,86,0,69,0,0,0,0,136
265,167,114,104,1,152,0,0,0,0,136
266,3,100,91,0,116,0,0,0,0,267
267,24,88,86,0,69,0,0,0,0,267
268,24,90,86,0,69,0,0,0,0,267
269,55,97,91,1,33,0,0,0,0,267
270,167,114,104,1,152,0,0,0,0,267
271,118,101,92,1,120,0,0,0,0,267
272,107,104,95,0,125,0,0,0,0,267
273,155,93,88,1,143,0,0,0,0,267
274,79,113,103,0,144,0,0,0,0,267
275,55,96,91,1,33,0,0,0,0,267
276,55,100,91,1,33,0,0,0,0,267
277,88,113,103,0,145,0,0,0,0,267
278,24,89,86,0,69,0,0,0,0,267
279,65,107,98,1,132,0,0,0,0,267
280,55,98,91,1,33,0,0,0,0,267
281,107,103,95,0,125,0,0,0,0,267
282,24,87,86,0,69,0,0,0,0,267
283,55,99,91,1,33,0,0,0,0,267
284,0,92,87,0,122,0,0,0,0,267
285,55,97,91,1,33,0,0,0,0,1119
286,118,101,92,1,120,0,0,0,0,1119
287,55,99,91,1,33,0,0,0,0,1119
288,155,93,88,1,143,0,0,0,0,1119
289,107,103,95,0,125,0,0,0,0,1119
290,24,90,86,0,69,0,0,0,0,1119
291,3,100,91,0,116,0,0,0,0,1119
292,0,92,87,0,122,0,0,0,0,1119
293,55,96,91,1,33,0,0,0,0,1119
