row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,organizer,page_url
91,37,65,63,0,35,0,0,0,0,1352
92,8,78,75,0,0,0,0,1,0,72
93,2,77,74,0,55,0,0,0,0,681
94,2,78,75,0,55,0,0,0,0,681
95,37,65,63,0,35,0,0,0,0,681
96,2,77,74,0,55,0,0,0,0,865
97,2,78,75,0,55,0,0,0,0,865
98,37,65,63,0,35,0,0,0,0,865
99,2,77,74,0,55,0,0,0,0,1205
100,2,78,75,0,55,0,0,0,0,1205
101,37,65,63,0,35,0,0,0,0,1205
102,2,77,74,0,55,0,0,0,0,1273
103,2,78,75,0,55,0,0,0,0,1273
104,37,65,63,0,35,0,0,0,0,1273
105,2,77,74,0,55,0,0,0,0,1422
106,2,78,75,0,55,0,0,0,0,1422
107,37,65,63,0,35,0,0,0,0,1422
108,2,77,74,0,54,0,0,0,0,154
109,2,78,75,0,54,0,0,0,0,154
110,3,70,67,0,31,0,0,1,1,154
111,3,75,72,0,31,0,0,1,1,154
112,4,57,56,0,21,0,0,1,1,154
113,5,47,46,0,36,0,0,1,1,154
114,7,59,57,0,44,0,0,1,1,154
115,10,58,55,0,41,0,0,1,1,154
116,19,56,54,0,39,0,0,1,1,154
117,21,71,67,0,23,0,0,1,1,154
118,23,72,68,0,9,0,0,1,1,154
119,24,55,53,1,7,0,0,1,1,154
120,26,73,69,0,19,0,0,1,1,154
121,36,51,49,0,47,0,0,1,1,154
122,36,52,50,0,47,0,0,1,1,154
123,37,65,63,0,34,0,0,0,0,154
124,39,74,70,0,2,0,0,1,1,154
125,1,69,66,0,12,0,0,1,1,154
126,42,66,64,0,50,0,0,1,1,154
127,44,48,47,1,4,0,0,1,1,154
128,44,49,48,1,4,0,0,1,1,154
129,2,77,74,0,55,0,0,0,0,276
130,2,78,75,0,55,0,0,0,0,276
131,37,65,63,0,35,0,0,0,0,276
132,2,77,74,0,55,0,0,0,0,389
133,2,78,75,0,55,0,0,0,0,389
134,37,65,63,0,35,0,0,0,0,389
135,2,77,74,0,55,0,0,0,0,819
136,2,78,75,0,55,0,0,0,0,819
137,37,65,63,0,35,0,0,0,0,819
138,2,77,74,0,55,0,0,0,0,1595
139,2,78,75,0,55,0,0,0,0,1595
140,37,65,63,0,35,0,0,0,0,1595
141,2,77,74,0,55,0,0,0,0,370
142,2,78,75,0,55,0,0,0,0,370
143,37,65,63,0,35,0,0,0,0,370
144,2,77,74,0,55,0,0,0,0,442
145,2,78,75,0,55,0,0,0,0,442
146,37,65,63,0,35,0,0,0,0,442
147,2,77,74,0,55,0,0,0,0,780
148,2,78,75,0,55,0,0,0,0,780
149,37,65,63,0,35,0,0,0,0,780
150,2,77,74,0,55,0,0,0,0,1210
151,2,78,75,0,55,0,0,0,0,1210
152,37,65,63,0,35,0,0,0,0,1210
153,2,77,74,0,55,0,0,0,0,1780
154,2,78,75,0,55,0,0,0,0,1780
155,37,65,63,0,35,0,0,0,0,1780
156,2,77,74,0,55,0,0,0,0,1157
157,2,78,75,0,55,0,0,0,0,1157
158,37,65,63,0,35,0,0,0,0,1157
159,2,77,74,0,55,0,0,0,0,986
160,2,78,75,0,55,0,0,0,0,986
161,37,65,63,0,35,0,0,0,0,986
162,2,77,74,0,55,0,0,0,0,1679
163,2,78,75,0,55,0,0,0,0,1679
164,37,65,63,0,35,0,0,0,0,1679
165,2,77,74,0,55,0,0,0,0,1026
166,2,78,75,0,55,0,0,0,0,1026
167,37,65,63,0,35,0,0,0,0,1026
168,2,77,74,0,54,0,0,0,0,120
169,2,78,75,0,54,0,0,0,0,120
170,37,65,63,0,34,0,0,0,0,120
171,2,77,74,0,54,0,0,0,0,125
172,2,78,75,0,54,0,0,0,0,125
173,37,65,63,0,34,0,0,0,0,125
174,2,77,74,0,55,0,0,0,0,1022
175,2,78,75,0,55,0,0,0,0,1022
176,37,65,63,0,35,0,0,0,0,1022
177,2,77,74,0,55,0,0,0,0,1337
178,2,78,75,0,55,0,0,0,0,1337
179,37,65,63,0,35,0,0,0,0,1337
180,2,77,74,0,55,0,0,0,0,1057
181,2,78,75,0,55,0,0,0,0,1057
182,37,65,63,0,35,0,0,0,0,1057
183,2,77,74,0,54,0,0,0,0,141
184,2,78,75,0,54,0,0,0,0,141
185,37,65,63,0,34,0,0,0,0,141
186,2,77,74,0,55,0,0,0,0,757
187,2,78,75,0,55,0,0,0,0,757
188,37,65,63,0,35,0,0,0,0,757
189,2,77,74,0,55,0,0,0,0,409
190,2,78,75,0,55,0,0,0,0,409
191,37,65,63,0,35,0,0,0,0,409
192,2,77,74,0,55,0,0,0,0,531
193,2,78,75,0,55,0,0,0,0,531
194,37,65,63,0,35,0,0,0,0,531
195,2,77,74,0,55,0,0,0,0,632
196,2,78,75,0,55,0,0,0,0,632
197,37,65,63,0,35,0,0,0,0,632
198,2,77,74,0,55,0,0,0,0,723
199,2,78,75,0,55,0,0,0,0,723
200,37,65,63,0,35,0,0,0,0,723
201,2,77,74,0,55,0,0,0,0,1293
202,2,78,75,0,55,0,0,0,0,1293
203,37,65,63,0,35,0,0,0,0,1293
204,2,77,74,0,55,0,0,0,0,1838
205,2,78,75,0,55,0,0,0,0,1838
206,37,65,63,0,35,0,0,0,0,1838
207,2,77,74,0,55,0,0,0,0,346
208,2,78,75,0,55,0,0,0,0,346
