row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
1532,7762,2875,3407,0,3475,0,0,0,2540,15,3475,0,1833
1533,4481,4825,6217,0,11348,0,0,0,5561,2,11348,0,6523
1534,2335,2649,3118,0,2095,0,0,0,2734,15,2095,0,6570
1535,587,5651,7311,0,10985,0,0,0,2878,41,10985,0,8806
1536,5029,3497,4164,0,9785,0,0,0,9376,45,9785,0,13460
1537,7147,5528,7145,0,5683,0,0,0,10187,35,5683,0,6501
1538,8912,9922,13355,0,8668,0,0,0,3903,36,8668,0,1549
1539,9521,3336,3966,0,5392,0,0,0,7809,51,5392,0,6261
1540,11123,7359,9531,0,91,0,0,0,8286,84,91,0,8711
1541,3871,1196,1323,0,1703,0,0,0,9885,38,1703,0,12323
1542,110,4597,5835,0,4943,0,0,0,7023,45,4943,0,3489
1543,8618,5024,6484,0,7734,0,0,0,2241,45,7734,0,3957
1544,6503,9712,12977,0,2841,0,0,0,1888,13,2841,0,9884
1545,1980,5478,7078,0,10415,0,0,0,4098,31,10415,0,6166
1546,962,4144,5025,0,5322,0,0,0,4881,1,5322,0,8408
1547,10328,2291,2654,0,7286,0,0,0,10823,36,7286,0,12786
1548,4513,8768,11313,0,7763,0,0,0,10628,40,7763,0,3681
1549,1750,454,500,0,8754,0,0,0,9862,25,8754,0,1076
1550,1437,793,881,0,6516,0,0,0,760,39,6516,0,3184
1551,10218,2851,3378,0,6648,0,0,0,5317,41,6648,0,5695
1552,11858,116,120,0,11544,0,0,0,3620,22,11544,0,11886
1553,917,2349,2738,0,3147,0,0,0,65,115,3147,0,5874
1554,8437,2299,2670,0,6801,0,0,0,3692,61,6801,0,3272
1555,9895,7257,9405,0,10790,0,0,0,1977,16,10790,0,6607
1556,10907,9558,12665,0,3090,0,0,0,3287,82,3090,0,7497
1557,3996,9658,12853,0,10860,0,0,0,6752,10,10860,0,8777
1558,7154,8,8,0,1010,0,0,0,956,59,1010,0,11692
