row_id,name,startdate,enddate,description,offers,page_url
317,305,474,432,804,1,2896
318,1214,472,439,3327,0,4468
319,1195,446,413,1123,0,1315
320,728,439,420,4259,0,3249
321,961,483,442,2907,1,4604
322,546,633,573,862,0,2442
323,1007,336,319,2653,1,3600
324,374,394,362,1348,1,1840
325,30,484,448,2984,1,1829
326,671,491,453,3598,0,1930
327,10,400,366,4558,0,3626
328,1143,282,268,2448,0,2593
329,165,360,343,4341,0,3191
330,883,415,383,2547,0,735
331,190,384,360,667,1,2332
332,886,444,409,2632,0,4741
333,703,528,481,2047,0,885
334,881,257,247,2496,1,719
335,618,382,357,4803,0,4012
336,168,487,466,2242,0,2857
337,956,563,514,3054,1,1561
338,257,426,397,4354,0,3526
339,479,496,458,4366,0,3482
340,59,458,419,3758,0,608
341,41,467,432,433,0,4184
342,120,513,487,323,0,4282
343,1073,307,334,1944,0,439
344,8,366,343,189,0,1640
345,797,455,419,149,1,3328
346,409,493,452,1746,1,1896
347,1192,260,248,2689,0,2601
348,616,444,415,4277,0,3183
349,1274,626,564,1061,0,230
350,919,429,397,2994,0,908
351,842,62,62,4675,1,3666
352,364,398,370,3104,1,4376
353,250,443,410,1387,0,3429
354,725,127,132,2057,0,3655
355,532,519,475,3459,1,1425
356,1143,282,268,3292,0,1542
357,507,411,389,3359,0,668
358,1048,411,377,3030,0,3113
359,501,380,358,1500,0,269
360,1167,306,300,23,1,2785
361,1011,185,183,3149,1,1398
362,824,624,568,4743,0,3665
363,756,586,530,1306,1,2403
364,1101,478,439,75,1,4952
365,1167,306,300,4318,1,3296
366,804,267,257,14,0,2226
367,441,440,409,1391,0,4728
368,216,270,262,4769,0,3885
369,1,362,340,139,1,753
370,1152,471,432,3064,1,1572
371,429,113,118,3261,0,4177
372,284,202,201,333,1,4305
373,112,318,304,3885,1,610
374,45,38,41,379,0,826
375,147,13,11,3379,1,873
376,483,451,415,1874,0,2973
377,881,257,247,2498,1,3305
378,1286,492,455,3846,0,4278
379,1314,592,535,731,0,1797
380,854,310,298,2598,1,4063
381,1224,512,469,4102,0,5151
382,145,424,394,545,1,1746
383,287,484,445,1679,1,2147
384,1251,279,488,3273,0,4645
385,80,375,353,1370,1,1698
386,278,512,419,327,0,4388
387,422,617,557,3423,0,1478
388,870,567,514,2949,1,4566
389,944,107,111,1779,0,656
390,539,452,415,1199,1,1168
391,95,370,347,381,1,960
392,913,42,63,2665,0,4079
393,697,306,290,3909,0,590
394,1047,548,500,1784,0,761
395,913,42,63,2665,0,5089
396,1166,36,35,1648,0,767
397,253,152,153,707,1,3385
398,1144,370,348,3294,0,4625
399,138,368,348,4127,1,4870
400,239,618,556,695,0,589
401,1284,488,446,1223,0,1334
402,1058,471,433,1665,1,1654
403,863,353,335,1630,1,400
404,186,330,316,1221,0,1016
405,827,454,443,2528,0,4057
406,827,454,443,2522,0,5067
407,574,520,475,1590,1,4498
408,737,105,109,521,0,1888
409,896,220,214,2638,0,2737
410,118,327,310,3074,1,1392
411,728,439,420,2290,0,2192
412,78,460,432,377,1,1696
413,387,171,168,4369,1,3622
414,1102,474,446,534,1,1241
