row_id,name,startdate,enddate,location,description,eventstatus,offers,performer,doortime,page_url
241,384,1510,1510,0,479,0,0,0,1510,489
242,1200,1798,1798,0,1045,0,0,0,1798,489
243,383,1804,1804,0,479,0,0,0,1804,489
244,1204,301,301,0,1045,0,0,0,301,489
245,1199,2096,2096,0,1045,0,0,0,2096,489
246,382,2102,2102,0,479,0,0,0,2102,489
247,1198,2396,2396,0,1045,0,0,0,2396,489
248,381,2402,2402,0,479,0,0,0,2402,489
249,388,307,307,0,479,0,0,0,307,489
250,1197,2692,2692,0,1045,0,0,0,2692,489
251,380,2697,2697,0,479,0,0,0,2697,489
252,1196,2986,2986,0,1045,0,0,0,2986,489
253,379,2991,2991,0,479,0,0,0,2991,489
254,1195,3274,3274,0,1045,0,0,0,3274,489
255,378,3279,3279,0,479,0,0,0,3279,489
256,1194,3566,3566,0,1045,0,0,0,3566,489
257,377,3571,3571,0,479,0,0,0,3571,489
258,1193,3859,3859,0,1045,0,0,0,3859,489
259,376,3864,3864,0,479,0,0,0,3864,489
260,1192,4152,4152,0,1045,0,0,0,4152,489
261,375,4157,4157,0,479,0,0,0,4157,489
262,1191,4445,4445,0,1045,0,0,0,4445,489
263,374,4450,4450,0,479,0,0,0,4450,489
264,1190,4741,4741,0,1045,0,0,0,4741,489
265,373,4746,4746,0,479,0,0,0,4746,489
266,1203,609,609,0,1045,0,0,0,609,489
267,1189,5034,5034,0,1045,0,0,0,5034,489
268,372,5039,5039,0,479,0,0,0,5039,489
269,1188,5323,5323,0,1045,0,0,0,5323,489
270,371,5328,5328,0,479,0,0,0,5328,489
271,387,615,615,0,479,0,0,0,615,489
272,1187,5628,5628,0,1045,0,0,0,5628,489
273,370,5633,5633,0,479,0,0,0,5633,489
274,1186,5923,5923,0,1045,0,0,0,5923,489
275,369,5927,5927,0,479,0,0,0,5927,489
276,1185,6216,6216,0,1045,0,0,0,6216,489
277,368,6220,6220,0,479,0,0,0,6220,489
278,1184,6504,6504,0,1045,0,0,0,6504,489
279,367,6508,6508,0,479,0,0,0,6508,489
280,1183,6798,6798,0,1045,0,0,0,6798,489
281,366,6802,6802,0,479,0,0,0,6802,489
282,1182,7092,7092,0,1045,0,0,0,7092,489
283,365,7096,7096,0,479,0,0,0,7096,489
284,1181,7387,7387,0,1045,0,0,0,7387,489
285,364,7391,7391,0,479,0,0,0,7391,489
286,1180,7678,7678,0,1045,0,0,0,7678,489
287,363,7682,7682,0,479,0,0,0,7682,489
288,1203,907,907,0,1045,0,0,0,907,489
289,1179,7974,7974,0,1045,0,0,0,7974,489
290,362,7978,7978,0,479,0,0,0,7978,489
291,1178,8263,8263,0,1045,0,0,0,8263,489
292,361,8267,8267,0,479,0,0,0,8267,489
293,386,913,913,0,479,0,0,0,913,489
294,1177,8555,8555,0,1045,0,0,0,8555,489
295,360,8559,8559,0,479,0,0,0,8559,489
296,1176,8844,8844,0,1045,0,0,0,8844,489
297,359,8848,8848,0,479,0,0,0,8848,489
298,1202,1205,1205,0,1045,0,0,0,1205,489
299,385,1210,1210,0,479,0,0,0,1210,489
300,1596,1623,1623,0,596,0,0,0,1623,38
301,810,1699,1699,0,30,0,0,0,1699,38
