row_id,name,startdate,location,description,eventstatus,page_url
89,2292,169,0,1653,0,5416
90,2593,2255,0,3137,0,1704
91,567,2110,0,3095,0,855
92,3238,2185,0,2721,0,1111
93,2605,2211,0,1129,0,6650
94,399,1119,0,2493,0,3873
95,2669,1315,0,297,0,4287
96,123,3241,0,2161,0,6410
97,2703,612,0,1906,0,2589
98,1798,1521,0,2784,0,5046
99,342,61,0,513,0,221
100,626,36,0,1765,0,347
101,2474,833,0,1783,0,3049
102,2983,47,0,1824,0,4582
103,2662,186,0,1772,0,2823
104,2635,1332,0,2119,0,3834
105,1395,2726,0,415,0,7054
106,2395,25,0,1199,0,2981
107,3155,802,0,899,0,2885
108,127,1780,0,2741,0,5908
109,1399,2283,0,1458,0,6710
110,1336,2830,0,2360,0,7170
111,1954,4,0,2011,0,4526
112,464,2150,0,3041,0,747
113,3102,1953,0,105,0,7033
114,1031,70,0,2128,0,111
115,3000,59,0,1832,0,4527
116,2416,925,0,561,0,3072
117,458,2130,0,3040,0,741
118,2600,2499,0,1651,0,6795
119,1560,1008,0,985,0,3481
120,2707,425,0,2752,0,2299
121,2842,2928,0,41,0,6115
122,1395,2707,0,414,0,7040
123,893,537,0,2697,0,2010
124,2684,688,0,760,0,2600
125,888,306,0,2688,0,1979
126,2087,1463,0,1885,0,4736
127,501,2304,0,2879,0,804
128,754,2097,0,3100,0,1097
129,2172,2259,0,2817,0,1403
130,2896,1738,0,2938,0,5344
131,2228,1773,0,2548,0,5791
132,1495,721,0,1969,0,2536
133,3022,493,0,2998,0,1472
134,1447,1114,0,764,0,4348
135,3299,1353,0,2350,0,4469
136,1160,2755,0,1467,0,7102
137,61,2172,0,2163,0,6608
138,1109,1543,0,2600,0,5642
139,2600,2353,0,208,0,6694
140,1283,1102,0,1004,0,4091
141,2149,2294,0,2722,0,1125
142,417,2338,0,2497,0,717
143,2610,2486,0,1676,0,6791
144,2542,1686,0,2868,0,5128
145,3224,1428,0,2076,0,4699
146,201,12,0,1919,0,37
147,2432,357,0,2861,0,1803
148,1103,2131,0,3081,0,1085
149,1268,1257,0,146,0,3726
150,533,1270,0,577,0,3846
151,1185,547,0,2706,0,1774
152,1533,150,0,2460,0,277
153,1835,835,0,1964,0,3444
154,483,146,0,284,0,4940
155,1023,410,0,2123,0,143
156,1046,299,0,2595,0,2149
157,921,1218,0,1920,0,3930
158,2168,2356,0,2816,0,1427
159,1109,1540,0,2600,0,5639
160,2509,331,0,333,0,1722
161,2405,979,0,1533,0,3111
162,855,871,0,1766,0,3490
163,3033,514,0,3002,0,1654
164,773,144,0,2013,0,5590
165,651,922,0,1152,0,3538
166,3161,1468,0,1812,0,4674
167,2200,1611,0,2545,0,5723
168,2425,316,0,2850,0,1789
169,3219,1731,0,3010,0,5883
170,2226,1620,0,2546,0,5741
171,1096,1575,0,2596,0,5651
172,1733,422,0,2791,0,1693
173,1291,764,0,1254,0,2857
174,1842,1063,0,612,0,3995
175,3200,3266,0,2344,0,6497
176,2471,493,0,2859,0,1895
177,2048,337,0,200,0,2407
178,3235,1116,0,445,0,4312
179,1868,1216,0,464,0,4131
180,2410,900,0,447,0,3063
181,313,138,0,1776,0,4847
182,862,2799,0,951,0,7162
183,2171,2234,0,2817,0,1383
184,2912,719,0,2181,0,2749
185,2629,1096,0,463,0,3761
186,2183,2130,0,3065,0,1543
187,2741,169,0,2113,0,4808
188,2472,1018,0,1757,0,3093
189,2087,1470,0,1885,0,4737
190,2684,684,0,760,0,2599
191,2438,390,0,2855,0,1818
192,931,1687,0,2825,0,5421
193,1301,2273,0,3111,0,1226
194,260,1543,0,1739,0,4838
195,2371,1034,0,1726,0,3629
196,2985,259,0,1825,0,3596
197,1801,1590,0,2783,0,5016
198,2928,2278,0,3052,0,1731
199,1381,3335,0,217,0,5995
200,1403,2660,0,2187,0,6982
201,3253,319,0,3019,0,2056
202,32,1505,0,2292,0,4913
203,2242,520,0,2821,0,2208
204,2907,393,0,2552,0,2372
205,2171,2247,0,2817,0,1393
206,2131,2266,0,3061,0,1504
207,1213,57,0,355,0,4357
208,1301,2275,0,3111,0,1228
209,752,1264,0,2106,0,4073
210,1021,127,0,2123,0,142
211,1860,1887,0,2985,0,293
212,2677,449,0,602,0,2310
213,2912,713,0,2181,0,2748
214,2738,144,0,1243,0,4888
215,767,219,0,1231,0,5644
216,2559,1765,0,2870,0,5167
217,3412,3214,0,1227,0,6436
218,379,555,0,2654,0,2183
219,2813,3090,0,2249,0,6264
220,1404,2487,0,1469,0,6822
221,3364,2553,0,1690,0,5969
222,518,1899,0,3144,0,156
223,1618,3003,0,47,0,6190
224,3222,1653,0,3013,0,5897
225,1315,3136,0,2333,0,6344
226,3355,2118,0,2734,0,1154
227,1837,881,0,2103,0,3462
228,3304,1348,0,1342,0,4464
229,1573,2510,0,2473,0,6808
230,2607,2025,0,1645,0,6245
231,3442,1908,0,115,0,6903
232,1683,72,0,767,0,4536
233,3294,49,0,1188,0,68
234,1968,1102,0,558,0,4444
235,1685,70,0,767,0,4534
236,2151,2108,0,2814,0,1462
237,1248,1309,0,161,0,3748
238,1447,1121,0,764,0,4349
239,2896,1743,0,2938,0,5345
240,3030,508,0,3000,0,1591
241,1188,551,0,2707,0,1778
