row_id,name,startdate,location,description,offers,page_url
109,724,394,0,3691,0,2765
110,1808,1993,0,2150,0,3910
111,1226,1995,0,3167,0,2569
112,420,101,0,2903,0,4151
113,3956,284,0,2256,1,3333
114,3343,1211,0,3430,0,4723
115,1177,783,0,2828,0,5731
116,3973,882,0,2786,0,1734
117,1685,2171,0,365,0,1761
118,3211,1317,0,5979,0,4768
119,2664,1335,0,4918,0,1529
120,1294,2009,0,3294,0,2448
121,3754,1998,0,589,1,1180
122,2062,53,0,4353,0,1474
123,1400,1442,0,6160,0,2468
124,2805,1818,11,4005,1,554
125,1622,1122,11,2253,1,223
126,2461,811,0,894,0,3697
127,3949,2047,11,3383,1,441
128,3956,1760,11,2816,1,530
129,4426,830,0,3304,0,4836
130,3234,1483,0,777,0,1060
131,199,1259,11,1272,1,950
132,2477,1317,0,4569,1,5641
133,2057,1645,0,5831,0,3892
134,364,551,0,1534,0,6089
135,3731,1623,0,5369,0,2048
136,2663,1355,0,866,0,1338
137,2817,1553,0,5540,0,4914
138,618,1956,11,3730,1,440
139,2267,1930,11,2000,1,440
140,3761,843,11,2963,1,207
141,928,934,0,5682,0,1793
142,3914,1091,0,5973,1,3094
143,2734,958,0,2230,0,2692
144,156,283,11,794,1,270
145,2179,310,0,847,0,3597
146,1479,932,0,679,1,5417
147,308,91,0,713,0,6100
148,1201,1453,0,842,0,1690
149,479,307,0,2686,0,3487
150,1622,1125,0,2252,0,2634
151,1028,1085,0,3444,0,5685
152,2130,839,0,4052,0,3850
153,1586,1187,0,605,0,4715
154,1641,1311,11,5747,1,231
155,1734,339,0,2077,0,5160
156,1092,1982,11,1276,1,351
157,4636,2222,0,1234,0,4456
158,3492,1429,0,2369,0,1800
159,1034,119,0,1146,0,2845
160,3746,1074,0,984,0,2241
161,2999,1266,0,5695,0,5806
162,2372,298,0,2186,0,3015
163,340,541,0,3491,1,4296
164,3910,254,0,2562,0,1823
165,2793,177,0,978,0,1785
166,492,2009,0,5728,0,3513
167,886,1661,11,3107,1,65
168,4570,2216,0,509,0,5077
169,2269,1822,11,4041,1,612
170,1834,1944,0,5684,0,1882
171,2937,1008,0,2454,0,5117
172,3229,1893,0,5001,1,1037
173,3432,932,0,4566,0,1801
174,1937,1325,0,5184,0,5176
175,3754,2069,0,589,1,1181
176,1627,1473,0,3854,0,2729
177,3518,1792,0,5247,0,5281
178,1945,1511,0,1024,0,1850
179,4683,1340,0,1462,0,5420
180,67,1947,11,1903,1,859
181,1103,1894,11,3783,1,859
182,3755,1809,0,3518,0,1168
183,2479,2011,0,6016,1,5621
184,89,2033,0,4195,0,6017
185,2368,2052,11,5214,1,751
186,1354,2015,0,2035,0,2563
187,3956,1208,0,3639,0,3353
188,3994,528,0,2953,0,5898
189,3501,475,0,3795,0,1091
190,2535,184,0,400,1,3194
191,694,1775,11,1412,1,86
192,2477,1531,0,4569,1,3671
193,1152,484,0,183,1,6106
194,2740,924,0,2994,0,2410
195,3849,786,0,5444,0,3049
196,4369,1181,0,6097,0,3763
197,1761,1288,0,3379,0,4948
198,4098,928,0,6082,0,3938
199,2189,71,0,1372,0,5542
200,713,1099,0,5211,0,1707
201,4436,2000,0,677,0,2369
202,3624,1971,11,2907,1,995
203,1575,1594,0,298,1,2607
204,2568,1056,0,1519,0,3310
205,3251,368,0,4216,0,1912
206,4603,1466,0,5319,0,5975
207,1084,2028,11,2863,1,209
208,1410,2033,11,3862,1,209
209,3331,2071,11,46,1,209
210,3949,2009,11,3383,1,442
211,1399,1995,0,4651,0,2511
212,1026,1306,0,1122,0,5703
213,564,2122,0,3775,1,3093
214,2312,1639,0,439,0,5787
215,3956,1344,11,4261,1,344
216,1881,1751,0,4579,0,1042
217,4337,1189,0,5173,0,4847
218,447,283,11,3665,1,5
219,171,1170,0,2132,0,1585
220,2372,934,0,2168,0,2984
221,248,1285,0,787,0,5917
222,3876,443,11,3060,1,586
223,2328,143,0,4023,0,1908
224,4152,1048,0,2280,0,2160
225,1988,1338,0,196,0,5405
226,923,466,0,3997,0,1620
227,4564,921,0,1295,0,4838
228,3493,1305,0,4657,0,1056
