row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,aggregaterating,page_url
7642,1487,1256,1222,0,5296,0,2,0,1,4497
7643,1201,1446,1412,0,2329,1,2,0,0,518
7644,7878,1050,1017,0,3814,1,2,0,1,4382
7645,8519,1437,1402,0,5296,3,2,1,0,9166
7646,1017,1009,980,0,1638,1,2,0,1,346
7647,587,1040,1012,0,4576,1,2,0,1,4531
7648,2112,1485,1450,0,5296,3,2,1,0,1010
7649,7835,960,927,0,5296,1,2,0,1,2299
7650,5204,978,949,0,5296,1,2,0,1,4343
7651,3965,1418,1380,0,5296,0,2,1,1,5587
7652,4825,1261,1227,0,3726,1,2,0,0,7088
7653,5537,1399,1363,0,4014,1,2,0,0,7962
7654,5562,1458,1427,0,4604,1,2,0,1,3466
7655,702,1097,1063,0,3178,1,2,0,1,4785
7656,6127,1136,1102,0,5296,1,2,0,1,1889
7657,7260,221,216,0,4215,1,2,0,1,8270
7658,1163,1586,1553,0,1014,1,2,0,0,454
7659,3680,990,956,0,5296,1,2,0,1,4118
7660,5344,1586,1553,0,1871,1,2,0,0,7360
7661,2992,903,870,0,5296,1,2,0,0,5982
7662,6668,1126,1089,0,5296,1,2,0,1,7032
7663,8647,1109,1071,0,5296,1,2,0,1,4521
7664,7212,1037,1002,0,2484,1,2,0,1,2014
7665,7697,1011,973,1,5296,2,2,0,1,2941
7666,4602,1058,1023,0,3674,1,2,0,1,1984
7667,8148,1037,1001,0,5296,1,2,0,1,4480
7668,4656,990,965,1,5296,2,2,0,1,4523
7669,3649,1050,1018,0,2514,1,2,0,1,2791
7670,4300,694,673,0,1208,1,2,0,1,5195
7671,5440,579,560,0,1952,1,1,0,0,879
7672,5853,989,956,0,5296,1,2,0,1,2648
7673,1045,1202,1171,0,317,1,2,0,0,374
7674,358,1076,1040,0,4902,1,2,0,1,2864
7675,6629,883,850,0,2298,1,2,0,0,8064
7676,5820,1038,1004,0,2245,1,2,0,1,3628
7677,4990,1039,1005,0,4620,1,2,0,1,4038
7678,2796,587,567,0,1033,1,2,0,1,5889
7679,2132,1133,1101,0,5296,1,2,0,0,1037
7680,3799,1192,1162,0,5296,1,2,0,1,4478
7681,5569,989,956,0,5296,1,2,0,1,4584
7682,7655,1198,1166,0,5296,3,2,1,0,8603
7683,5513,947,909,1,1963,2,2,0,1,3043
7684,3914,1207,1173,0,4640,1,2,0,1,6842
7685,1783,1083,1048,0,4651,1,2,0,1,8144
7686,5181,1215,1181,0,5296,3,2,1,0,6195
7687,537,1025,991,0,2769,1,2,0,1,4092
7688,5903,1151,1119,0,3936,1,2,0,0,7636
7689,6230,998,965,0,5296,1,2,0,1,3400
7690,7275,1196,1160,1,1633,2,2,0,1,8419
7691,5740,1061,1032,0,912,1,2,0,1,3460
7692,8375,1224,1190,0,800,1,2,0,1,9062
7693,4379,1026,991,0,5296,1,2,0,0,6604
7694,7536,1425,1388,0,4991,1,2,0,0,8682
7695,5054,1245,1211,0,5296,1,2,0,1,2178
7696,438,1136,1101,0,189,1,2,0,0,81
7697,2839,1147,1118,0,1723,3,3,1,1,8810
7698,1714,1415,1377,0,1723,3,3,1,1,8810
7699,6730,1009,972,0,5296,1,2,0,1,2451
7700,196,1011,973,1,5296,2,2,0,1,3861
7701,4456,1190,1156,0,4037,1,2,0,0,8091
7702,623,1026,992,0,5296,1,2,0,1,1324
7703,359,1076,1044,0,1677,1,2,0,1,3340
7704,1334,1225,1195,0,1719,1,2,0,1,3759
7705,5151,1039,1008,0,5296,1,2,0,1,1837
7706,3417,1217,1184,0,5285,1,2,0,1,6221
7707,3147,1160,1129,0,2294,1,2,0,1,3705
7708,4981,136,133,0,3759,1,2,0,1,193
