row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,page_url
57,2880,2916,2795,0,2770,0,0,0,180
58,2760,4360,4198,0,102,0,0,0,1354
59,2061,703,612,0,1727,0,0,0,3303
60,3714,1699,1547,0,2189,0,0,0,5668
61,4498,1096,1005,0,4446,0,0,0,3688
62,2499,5194,5140,0,5068,0,0,0,1971
63,4770,4512,4357,0,4061,0,0,0,2084
64,2927,226,169,0,9,0,0,0,2652
65,3532,2887,2772,0,4439,0,0,0,5513
66,2051,4013,3850,0,1735,0,0,0,1573
67,3779,296,228,0,4927,0,0,0,2797
68,1660,292,224,0,1384,0,0,0,2824
69,1547,2425,2280,0,4595,0,0,0,5027
70,3818,3681,3507,0,1431,0,0,0,1052
71,801,452,370,0,1249,0,0,0,2962
72,3681,4877,4725,0,2491,0,0,0,142
73,2616,2470,2320,0,131,0,0,0,5154
74,1947,4686,4530,0,3003,0,0,0,1968
75,2606,1381,1336,0,4972,0,0,0,4093
76,4086,3704,3527,0,3944,0,0,0,202
77,2172,4124,3959,0,1822,0,0,0,1476
78,1293,2529,2380,0,1422,0,0,0,4972
79,3601,4559,4401,0,4813,0,0,0,2254
80,2790,370,296,0,955,0,0,0,2880
81,4802,2528,2379,0,2771,0,0,0,4775
82,585,4184,4017,0,426,0,0,0,1409
83,3937,4018,3853,0,4681,0,0,0,714
84,5226,4292,4126,0,2037,1,0,0,283
85,1798,782,688,0,2009,1,0,0,3376
86,5281,2138,1981,0,5101,0,0,0,3701
87,40,525,440,0,3244,0,0,0,3098
88,4133,1271,2506,0,5013,1,0,0,3970
89,937,2087,1926,0,2667,0,0,0,4858
90,1181,4592,4434,0,1564,0,0,0,2077
91,2295,4323,4162,0,3400,0,0,0,1744
92,1068,1461,1330,0,3789,0,0,0,4195
93,4050,4524,4368,0,952,0,0,0,5451
94,3950,3295,3141,0,4407,0,0,0,299
95,2181,4490,4435,0,1691,0,0,0,1549
96,1647,2296,2139,0,1549,0,0,0,4748
97,483,2886,2771,0,4687,0,0,0,169
