row_id,name,startdate,enddate,description,eventattendancemode,offers,organizer,performer,url,page_url
3401,666,1315,1371,1199,1,0,0,0,0,2643
3402,2493,3349,3490,1254,1,1,2,0,0,5895
3403,536,1254,1304,267,1,0,0,0,0,318
3404,2086,3708,3870,176,1,1,0,0,0,5300
3405,1266,2478,2593,2279,1,0,0,0,0,1236
3406,1111,2109,2197,156,1,0,0,0,0,3284
3407,2493,3430,3580,1254,1,1,2,0,0,5903
3408,1524,1463,1530,832,1,0,2,0,0,4406
3409,2493,5679,5921,1254,1,0,2,0,0,6507
3410,170,310,311,1289,1,0,0,0,0,2932
3411,1242,4779,4999,275,1,1,0,0,0,3565
3412,1245,4811,5031,1558,1,0,0,0,0,3990
3413,2493,5045,5268,1254,1,0,2,0,0,6369
3414,1244,4539,4736,1556,1,1,0,0,0,1089
3415,1242,5558,5794,275,1,1,0,0,0,3599
3416,1122,778,814,781,1,0,0,0,0,3296
3417,2493,2071,2164,1254,1,0,2,0,0,6292
3418,1989,3009,3146,1265,1,0,0,0,0,5184
3419,821,5657,5897,1067,1,0,0,0,0,2924
3420,2493,4827,5049,1254,1,0,2,0,0,6329
3421,376,1120,1159,2477,1,0,0,0,0,95
3422,2008,755,789,1676,1,0,0,0,0,1557
3423,1630,3929,4101,1559,1,0,0,0,0,4623
3424,1542,1440,1504,1523,1,0,0,0,0,4435
3425,1474,2093,2176,678,1,0,0,0,0,1311
3426,2493,1913,2002,1254,1,0,2,0,0,6281
3427,1725,254,248,2212,1,0,0,0,0,4726
3428,1940,3675,3833,1740,1,0,0,0,0,5096
3429,526,1383,1447,1405,1,0,0,0,0,2433
3430,1292,3219,3361,571,1,0,0,0,0,4060
3431,1354,3266,3404,2038,1,0,0,0,0,4143
3432,1978,4286,4477,242,1,0,0,0,0,5170
3433,1892,2573,2692,1825,1,0,0,0,0,5011
3434,1884,2350,2454,643,1,0,0,0,0,4990
3435,373,1119,1158,2491,1,0,0,0,0,90
3436,1244,4661,4874,1556,1,1,0,0,0,1126
3437,1811,772,806,1458,1,0,0,0,0,1501
3438,299,4254,4451,2581,1,1,0,0,0,2025
3439,1572,3976,4152,108,1,0,0,0,0,4540
3440,1242,5030,5251,275,1,1,0,0,0,3578
3441,249,3528,3679,1181,1,0,0,0,0,1965
3442,1371,4456,4655,124,1,0,0,0,0,4164
3443,1514,18,16,778,1,0,0,0,0,4394
3444,1542,5098,5321,1523,1,0,0,0,0,4490
3445,442,932,970,2277,1,0,0,0,0,190
3446,1244,4380,4570,1556,1,1,0,0,0,1059
3447,2620,2184,2277,510,1,0,0,0,0,5536
3448,1455,4062,4245,1141,1,0,0,0,0,4280
3449,2493,5577,5815,1254,1,0,2,0,0,6484
3450,2493,5123,5348,1254,1,1,2,0,0,6119
3451,821,3191,3333,1067,1,1,0,0,0,533
3452,2130,1286,1341,473,1,0,0,0,0,1597
3453,1170,4288,4479,2429,1,1,0,0,0,3410
3454,1244,4599,4805,1556,1,1,0,0,0,1104
3455,1913,2549,2668,802,1,0,2,0,0,5067
3456,2408,440,441,2274,1,0,0,0,0,5793
3457,620,2834,2966,301,1,0,0,0,0,2561
3458,772,48,49,600,1,0,0,0,0,2809
3459,1597,531,540,742,1,0,0,0,0,4575
3460,68,1090,1130,769,1,0,0,0,0,1781
3461,930,3438,3593,2515,1,0,0,0,0,3086
3462,2493,4711,4930,1254,1,1,2,0,0,6022
3463,1307,445,447,133,1,0,0,0,0,4081
3464,1423,3887,4058,408,1,1,0,0,0,1290
3465,1247,5359,5586,1558,1,0,0,0,0,3944
3466,1141,1600,1668,1053,1,0,0,0,0,3354
3467,1971,2810,2938,1428,1,0,0,0,0,5148
3468,1246,813,848,1558,1,0,0,0,0,847
3469,2193,1246,1295,43,1,0,0,0,0,5419
3470,1276,2586,2705,969,1,0,0,0,0,1250
3471,1971,2930,3059,1428,1,0,0,0,0,5149
3472,2493,3232,3378,1254,1,1,2,0,0,5881
3473,104,3863,4031,31,1,0,0,0,0,1815
3474,821,5076,5300,1067,1,0,0,0,0,2901
3475,2494,183,180,1356,1,0,0,0,0,6523
3476,790,1754,1817,1484,1,0,0,0,0,2827
3477,821,5400,5630,1067,1,0,0,0,0,2914
3478,1877,3965,4140,149,1,0,0,0,0,4985
3479,1674,2694,2817,514,1,0,0,0,0,4668
3480,1818,5151,5378,276,1,1,0,0,0,4888
3481,1972,4664,4876,580,1,0,0,0,0,5133
3482,2493,4796,5017,1254,1,0,2,0,0,6322
3483,2148,283,281,1826,1,0,0,0,0,5362
3484,190,4189,4375,365,1,0,0,0,0,1899
3485,747,4384,4575,2099,1,0,0,0,0,2768
3486,1835,162,166,319,1,0,0,0,0,4929
3487,1723,712,740,1802,1,0,0,0,0,4720
3488,6,3102,3242,2273,1,1,0,0,0,1931
3489,497,1168,1210,2210,1,1,0,0,0,2295
3490,2525,4427,4622,1403,1,0,0,0,0,6607
3491,949,1322,1378,1393,1,0,0,0,0,3101
3492,536,1537,1605,267,1,0,0,0,0,324
3493,1251,5703,5943,1558,1,0,0,0,0,3794
3494,1765,2725,2847,2053,1,0,2,0,0,4770
3495,1244,4651,4863,1556,1,1,0,0,0,1121
3496,1832,3438,3586,2205,1,1,0,0,0,4926
3497,1336,3858,4028,2593,1,1,0,0,0,4110
3498,1249,5449,5680,1094,1,0,0,0,0,3875
3499,1535,726,756,2232,1,0,0,0,0,4421
3500,2395,246,241,1113,1,0,0,0,0,5781
3501,1455,5320,5547,1141,1,0,0,0,0,4309
3502,193,2921,3049,1237,1,1,0,0,0,1902
3503,431,3622,3778,1452,1,0,0,0,0,2174
3504,650,3095,3233,1455,1,0,0,0,0,2593
3505,1988,2014,2096,2289,1,0,0,0,0,5183
3506,121,3477,3624,1590,1,0,0,0,0,1853
3507,1302,3454,3605,1038,1,0,0,0,0,4076
3508,1244,4075,4261,1556,1,1,0,0,0,998
3509,1554,769,803,511,1,0,0,0,0,1336
3510,2463,2015,2097,1305,1,0,0,0,0,5843
3511,1676,1647,1713,92,1,0,0,0,0,4673
3512,2165,3374,3515,1363,1,0,0,0,0,5384
3513,1244,3949,4123,1556,1,1,0,0,0,953
3514,1326,556,569,575,1,0,0,0,0,4099
3515,2050,1321,1377,446,1,0,0,0,0,5261
3516,1845,1039,1084,1788,1,0,0,0,0,4939
3517,1818,2592,2712,276,1,1,0,0,0,4843
3518,2577,3830,4000,811,1,0,0,0,0,6658
3519,628,4537,4732,289,1,1,0,0,0,2569
3520,1854,846,884,1839,1,0,0,0,0,4955
3521,2100,176,173,2452,1,0,0,0,0,5313
3522,1007,2652,2774,136,1,0,0,0,0,3174
3523,1244,4373,4563,1556,1,1,0,0,0,1058
3524,1364,1098,1138,1041,1,0,0,0,0,1270
3525,2476,2995,3129,683,1,0,0,0,0,1659
3526,676,428,428,300,1,0,0,0,0,2657
3527,2460,2872,3001,1183,1,0,0,0,0,5840
3528,2493,5284,5513,1254,1,1,2,0,0,6163
3529,2501,5458,5689,75,1,0,0,0,0,6558
3530,2493,5097,5322,1254,1,1,2,0,0,6112
3531,1542,1883,1956,1523,1,0,0,0,0,4439
3532,2179,541,552,576,1,0,0,0,0,5405
3533,1248,73,75,1558,1,0,0,0,0,3797
3534,2173,4548,4747,515,1,0,0,0,0,5391
3535,777,2241,2343,1478,1,0,0,0,0,2816
3536,2549,750,783,624,1,0,0,0,0,6639
3537,303,3066,3203,793,1,0,0,0,0,2034
3538,526,643,669,1405,1,0,0,0,0,2413
3539,2493,4611,4820,1254,1,1,2,0,0,6007
3540,821,4872,5093,1067,1,1,0,0,0,608
