row_id,name,startdate,location,description,offers,page_url
103,238,537,0,3528,0,4507
104,2222,1706,0,4634,0,4037
105,3273,630,0,3814,0,1640
106,1101,1707,0,3669,0,2086
107,3333,1733,0,1426,0,2285
108,3619,1042,0,1185,0,4276
109,1230,1428,0,3068,0,2297
110,3300,275,0,1271,0,3306
111,30,1642,6,3046,1,523
112,443,94,6,2925,1,523
113,2433,1233,6,3719,1,689
114,3112,863,0,3776,1,2906
115,1663,294,0,782,0,1837
116,3081,476,0,3612,1,2711
117,1239,1209,0,3258,0,2330
118,2953,332,0,428,0,1182
119,1443,1778,6,3553,1,382
120,3400,1005,6,4564,1,382
121,995,280,6,3269,1,382
122,1415,1422,0,4293,0,1860
123,985,737,0,396,0,3436
124,703,1227,0,1162,0,1739
125,141,1185,0,1149,0,1363
126,3748,868,0,4151,0,3817
127,3,390,0,4182,0,4148
128,3247,1675,6,4434,1,727
129,571,619,0,3387,0,1314
130,51,1225,0,55,0,1561
131,1949,1327,0,4324,0,2978
132,644,1253,0,3162,0,1696
133,2114,1090,6,2092,1,802
134,3399,1015,0,4563,0,4283
135,1137,1686,0,4211,0,4059
136,842,1056,0,4222,0,4514
137,1997,848,0,3990,1,3117
138,1365,1435,0,4448,0,3420
139,2628,183,0,893,0,3602
140,2150,1699,0,543,0,1996
141,1108,1870,0,410,0,3713
142,1680,1083,0,2155,0,1078
143,3494,545,0,684,0,4223
144,1302,1827,0,4565,1,1908
145,366,919,0,822,1,2445
146,75,887,0,2379,0,3970
147,1307,1326,0,96,0,2328
148,610,647,0,2331,0,1416
149,168,1559,0,4583,0,4320
150,3112,567,0,2659,0,2861
151,2378,1073,0,1248,0,1593
152,3089,1082,0,4132,0,3638
153,3728,1341,6,1572,1,838
154,2090,748,0,4018,0,4403
155,218,1324,0,2285,0,4509
156,1589,1237,0,3726,0,3136
157,826,494,0,3088,0,4353
158,3623,747,0,3242,0,4230
159,3240,1657,6,2086,1,694
160,3240,1626,6,2086,1,694
161,251,1073,0,4633,0,4676
162,1166,1241,0,113,0,2614
163,2537,1621,6,3792,1,16
164,455,1675,6,2904,1,501
165,1792,1642,6,1478,1,501
166,1696,1687,6,3220,1,626
167,1114,633,6,1441,1,626
168,530,315,6,937,1,626
169,471,1421,0,749,0,1634
170,1078,643,0,1430,0,2137
171,2162,948,0,1405,0,2033
172,1123,763,0,2259,0,2725
173,2384,327,6,2309,1,403
174,3653,1320,6,1781,1,240
175,3099,1341,6,1294,1,483
176,221,549,0,4539,0,2928
177,3651,23,6,1360,1,234
178,3685,758,0,1428,0,2260
179,2029,1816,6,2610,1,564
180,1356,187,0,3298,0,4161
181,61,1772,6,3592,1,386
182,2334,1349,0,1240,0,4314
183,2843,522,0,1049,0,4700
184,2435,1728,6,3579,1,686
185,3187,1590,6,4464,1,731
186,809,1259,6,169,1,961
187,694,857,0,3538,0,1677
188,3344,1704,0,3685,0,2091
189,2950,1842,0,1053,0,4008
