row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
1906,1057,3418,3665,0,777,0,4042
1907,2859,2852,3048,0,3258,0,5003
1908,2903,795,808,0,2310,0,1820
1909,2675,1077,1110,0,1129,0,1868
1910,2388,3321,3554,0,1431,0,2627
1911,3842,2709,2894,0,1235,0,5522
1912,940,2566,2746,0,1445,0,3743
1913,260,941,964,0,168,0,5149
1914,3226,3154,3378,0,48,0,3373
1915,776,3707,4044,0,813,0,2730
1916,277,3478,3741,0,2511,0,5993
1917,1992,211,211,0,2296,0,290
1918,4390,3202,3439,0,2182,0,559
1919,4415,3262,3499,0,2182,0,577
1920,1450,539,545,0,2725,0,2505
1921,2996,2943,3147,0,3121,0,3429
1922,2983,2908,3126,0,1302,0,4765
1923,2071,3219,3452,0,1658,0,4143
1924,3130,2151,2315,0,2401,0,5257
1925,4001,357,357,0,665,0,334
1926,51,38,38,0,878,0,1383
1927,177,1479,1565,0,2797,0,648
1928,3627,1171,1223,0,1090,0,3267
1929,3717,3936,4344,0,2781,0,5621
1930,3791,360,360,0,2738,0,258
1931,3683,3585,3908,0,1909,0,5960
1932,2586,1808,1930,0,2806,0,4541
1933,3264,1420,1503,0,1357,0,4923
1934,3984,2959,3158,0,3062,0,5962
1935,3826,3,3,0,1137,0,246
1936,4531,3994,4411,1,604,0,4251
1937,4111,1314,1380,0,1075,0,4941
1938,1803,1617,1725,0,2611,0,2049
1939,4280,2351,2513,0,1248,0,3482
1940,2029,2029,2180,0,900,0,1146
1941,196,2436,2599,0,165,0,5396
1942,1104,494,503,1,2404,1,1130
1943,2205,3827,4196,0,1112,0,5835
1944,3370,1088,1119,1,2125,1,553
1945,1462,2494,2662,0,2171,0,2860
1946,4364,2595,2778,0,3353,0,6015
1947,3276,3994,4411,0,1102,0,5474
1948,3475,1801,2063,1,1351,1,4180
1949,2621,642,645,1,2132,1,5850
1950,2462,3618,3929,0,2986,0,1221
1951,1861,455,456,1,90,1,2192
1952,2353,1760,1874,0,2101,0,5056
1953,373,3813,4174,0,2713,0,1031
1954,4288,653,655,1,2882,1,635
1955,3986,3183,3417,0,1779,0,3032
1956,2334,3731,4077,0,3188,0,3214
1957,3747,951,974,0,2713,0,3543
1958,1807,3674,3996,0,2777,0,5700
1959,802,3491,3762,0,2323,0,3150
1960,1057,2774,2967,0,777,0,3996
1961,1137,966,992,0,2908,0,4408
1962,1586,2192,2358,0,1374,0,5260
1963,1213,3588,3888,0,1639,0,1181
1964,3522,3721,4062,0,2759,0,2182
1965,1683,3088,3309,0,3097,0,3004
1966,3416,2539,2713,0,838,0,4083
1967,4304,1974,2122,0,1620,0,3121
1968,1521,2187,2355,0,1367,0,5259
1969,1521,2283,2452,0,1367,0,5322
1970,1265,976,1001,1,1276,0,2646
