row_id,name,startdate,enddate,description,eventattendancemode,offers,performer,url,page_url
182,2252,447,448,4977,0,0,0,0,2768
183,2977,951,953,3091,0,1,0,0,3563
184,13,933,935,801,0,0,0,0,23
185,4587,1962,1974,3955,0,0,0,0,5154
186,3616,2050,2063,3357,0,0,0,0,4226
187,4192,544,546,2984,0,0,0,0,4783
188,2577,979,981,1983,0,1,0,0,3162
189,1945,2103,2116,5407,0,0,0,0,2528
190,2259,1710,1721,4155,0,0,0,0,2785
191,5527,295,296,129,0,1,0,0,418
192,53,511,513,61,0,1,0,0,1575
193,5728,489,490,4611,0,0,0,0,2249
194,1560,1713,1724,4059,0,0,0,0,2133
195,163,2238,2251,1481,0,0,0,0,690
196,3154,324,325,2061,0,0,0,0,3736
197,2900,1453,1463,3880,0,1,0,0,3468
198,1319,657,659,5159,0,0,0,0,1907
199,1718,1050,1052,1635,0,0,0,0,2298
200,4334,955,957,292,0,1,0,0,4931
201,1379,2135,2149,3467,0,0,0,0,1968
202,3324,636,638,5477,0,0,0,0,3916
203,4599,1349,1356,4384,0,1,0,0,5170
204,5363,829,831,5704,0,1,0,0,268
205,3855,1215,1220,3263,0,1,0,0,4446
206,1141,939,941,2669,0,0,0,0,1705
207,2916,1017,1019,2729,0,0,0,0,3498
208,2946,1548,1557,2783,0,1,0,0,3528
209,3123,765,767,988,0,1,0,0,3705
210,5608,1149,1154,3162,0,0,0,0,512
211,3720,2187,2199,1310,0,1,0,0,4307
212,2,326,327,76,0,0,0,0,2
213,577,61,61,107,0,1,0,0,1104
214,3396,59,58,4486,0,1,0,0,3988
215,272,2009,2022,5255,0,0,0,0,813
216,1924,2130,2143,2715,0,0,0,0,2506
217,281,1707,1718,3846,0,0,0,0,819
218,2190,801,803,2953,0,1,0,0,2806
219,164,1900,1912,1504,0,0,0,0,683
220,375,1963,1975,5422,0,0,0,0,925
221,2807,1614,1623,3725,0,0,0,0,3352
222,2581,2067,2080,2806,0,0,0,0,3167
223,3966,2129,2142,2179,0,0,0,0,4555
224,5029,2216,2229,5128,0,0,0,0,5650
225,2839,1939,1951,5557,0,0,0,0,3426
226,776,1037,1039,1518,0,0,0,0,1309
227,1725,2000,2013,4593,0,0,0,0,2305
228,240,1821,1833,1201,0,0,0,0,772
229,992,176,177,871,0,0,0,0,1521
230,3567,1606,1615,4803,0,0,0,0,4172
231,1370,1065,1067,1049,0,0,0,0,1958
232,3677,1449,1459,3883,0,1,0,0,4155
233,4195,1322,1329,4960,0,1,0,0,4786
234,917,144,144,888,0,1,0,0,1440
235,2747,627,629,103,0,0,0,0,3333
236,3533,1855,1867,4575,0,0,0,0,4124
237,4931,1264,1270,3589,0,1,0,0,5558
238,3496,1446,1456,598,0,1,0,0,4092
239,3530,2065,2078,238,0,0,0,0,4120
240,130,1854,1866,2745,0,0,0,0,652
241,85,2127,2140,5528,0,0,0,0,606
242,5358,696,698,5475,0,0,0,0,263
243,2910,880,882,2609,0,1,0,0,3492
244,4078,174,174,5382,0,1,0,0,4676
245,2793,210,211,5289,0,1,0,0,3392
