row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,organizer,page_url
280,419,358,355,0,1264,0,0,0,0,0,813
281,215,314,312,1,1464,0,0,0,0,0,761
282,419,325,323,0,1247,0,0,0,0,0,761
283,280,324,322,1,1295,0,0,0,0,1,761
284,152,314,312,1,588,0,0,0,0,1,761
285,404,320,318,0,507,0,0,0,0,1,761
286,111,316,314,0,900,0,0,0,0,1,761
287,216,318,316,1,1380,0,0,0,0,0,761
288,216,326,324,1,1416,0,0,0,0,0,761
289,215,323,321,1,1500,0,0,0,0,0,761
290,111,320,318,0,947,0,0,0,0,1,761
291,404,311,309,0,547,0,0,0,0,1,761
292,419,312,310,0,1106,0,0,0,0,0,761
293,111,324,322,0,994,0,0,0,0,1,761
294,215,319,317,1,1482,0,0,0,0,0,761
295,419,321,319,0,1200,0,0,0,0,0,761
296,404,324,322,0,525,0,0,0,0,1,761
297,419,317,315,0,1153,0,0,0,0,0,761
298,404,316,314,0,489,0,0,0,0,1,761
299,216,313,311,1,1362,0,0,0,0,0,761
300,153,314,312,1,810,0,0,0,0,0,761
301,492,310,308,1,1314,0,0,0,0,0,761
302,111,311,309,0,853,0,0,0,0,1,761
303,216,322,320,1,1398,0,0,0,0,0,761
304,243,2,2,0,413,0,0,1,0,1,321
305,203,204,203,1,216,0,0,0,0,1,281
306,216,339,336,1,1316,0,0,0,0,0,1
307,419,358,355,0,1060,0,0,0,0,0,1
308,111,336,333,0,842,0,0,0,0,1,1
309,111,349,346,0,842,0,0,0,0,1,1
310,60,335,333,1,705,0,0,0,0,1,1
311,419,350,347,0,1060,0,0,0,0,0,1
312,111,354,350,0,842,0,0,0,0,1,1
313,404,343,340,0,472,0,0,0,0,1,1
314,215,341,338,1,1418,0,0,0,0,0,1
315,404,349,346,0,472,0,0,0,0,1,1
316,60,336,332,1,705,0,0,0,0,1,1
317,111,343,340,0,842,0,0,0,0,1,1
318,404,336,333,0,472,0,0,0,0,1,1
319,419,355,351,0,1060,0,0,0,0,0,1
320,419,344,341,0,1060,0,0,0,0,0,1
321,419,337,334,0,1060,0,0,0,0,0,1
322,404,354,350,0,472,0,0,0,0,1,1
323,111,357,354,0,842,0,0,0,0,1,1
324,404,357,354,0,472,0,0,0,0,1,1
325,56,353,349,0,812,0,0,0,0,1,1
326,419,312,310,0,1106,0,0,0,0,0,32
