row_id,name,startdate,enddate,location,description,offers,organizer,performer,page_url
76,17,50,51,0,1,0,0,0,303
77,61,52,56,0,6,1,0,0,303
78,17,53,55,0,1,0,0,0,303
79,17,54,57,0,1,0,0,0,303
80,42,55,59,0,8,0,0,0,303
81,17,57,60,0,1,0,0,0,303
82,29,20,50,0,7,0,0,0,303
83,56,39,40,0,9,0,0,0,303
84,11,41,41,0,4,0,0,0,303
85,17,49,49,0,1,0,0,0,113
86,17,50,51,0,1,0,0,0,113
87,61,52,56,0,6,1,0,0,113
88,17,53,55,0,1,0,0,0,113
89,17,54,57,0,1,0,0,0,113
90,42,55,59,0,8,0,0,0,113
91,17,57,60,0,1,0,0,0,113
92,29,20,50,0,7,0,0,0,113
93,56,39,40,0,9,0,0,0,113
94,11,41,41,0,4,0,0,0,113
95,17,49,49,0,1,0,0,0,344
96,17,50,51,0,1,0,0,0,344
97,61,52,56,0,6,1,0,0,344
98,17,53,55,0,1,0,0,0,344
99,17,54,57,0,1,0,0,0,344
100,42,55,59,0,8,0,0,0,344
101,17,57,60,0,1,0,0,0,344
102,29,20,50,0,7,0,0,0,344
103,56,39,40,0,9,0,0,0,344
104,11,41,41,0,4,0,0,0,344
105,17,49,49,0,1,0,0,0,121
106,17,50,51,0,1,0,0,0,121
107,61,52,56,0,6,1,0,0,121
108,17,53,55,0,1,0,0,0,121
109,17,54,57,0,1,0,0,0,121
110,42,55,59,0,8,0,0,0,121
111,17,57,60,0,1,0,0,0,121
112,29,20,50,0,7,0,0,0,121
113,56,39,40,0,9,0,0,0,121
114,11,41,41,0,4,0,0,0,121
115,17,49,49,0,1,0,0,0,348
116,17,50,51,0,1,0,0,0,348
117,61,52,56,0,6,1,0,0,348
118,17,53,55,0,1,0,0,0,348
119,17,54,57,0,1,0,0,0,348
120,42,55,59,0,8,0,0,0,348
121,17,57,60,0,1,0,0,0,348
122,29,20,50,0,7,0,0,0,348
123,56,39,40,0,9,0,0,0,348
124,11,41,41,0,4,0,0,0,348
125,50,87,90,0,44,1,0,1,237
126,17,49,49,0,1,0,0,0,237
127,17,50,51,0,1,0,0,0,237
128,61,52,56,0,6,1,0,0,237
129,17,53,55,0,1,0,0,0,237
130,17,54,57,0,1,0,0,0,237
131,42,55,59,0,8,0,0,0,237
