name,startdate,enddate,location,offers,organizer
61,307,307,-1,-1,-1
61,308,308,-1,-1,-1
61,309,309,-1,-1,-1
61,310,310,-1,-1,-1
61,311,311,-1,-1,-1
62,312,312,-1,-1,-1
62,313,313,-1,-1,-1
63,314,314,-1,-1,-1
63,315,315,-1,-1,-1
64,316,316,-1,-1,-1
64,317,317,-1,-1,-1
64,318,318,-1,-1,-1
64,319,319,-1,-1,-1
64,320,320,-1,-1,-1
64,321,321,-1,-1,-1
65,322,322,-1,-1,-1
65,323,323,-1,-1,-1
65,324,324,-1,-1,-1
65,325,325,-1,-1,-1
65,326,326,-1,-1,-1
65,327,327,-1,-1,-1
65,328,328,-1,-1,-1
65,329,329,-1,-1,-1
65,330,330,-1,-1,-1
65,331,331,-1,-1,-1
65,332,332,-1,-1,-1
65,333,333,-1,-1,-1
65,334,334,-1,-1,-1
65,335,335,-1,-1,-1
65,336,336,-1,-1,-1
65,337,337,-1,-1,-1
65,338,338,-1,-1,-1
65,339,339,-1,-1,-1
65,340,340,-1,-1,-1
65,341,341,-1,-1,-1
65,342,342,-1,-1,-1
65,343,343,-1,-1,-1
65,344,344,-1,-1,-1
65,345,345,-1,-1,-1
65,346,346,-1,-1,-1
65,347,347,-1,-1,-1
65,348,348,-1,-1,-1
65,349,349,-1,-1,-1
65,350,350,-1,-1,-1
65,351,351,-1,-1,-1
66,352,352,-1,-1,-1
66,353,353,-1,-1,-1
66,354,354,-1,-1,-1
66,355,355,-1,-1,-1
66,356,356,-1,-1,-1
66,357,357,-1,-1,-1
67,358,358,-1,-1,-1
67,359,359,-1,-1,-1
67,360,360,-1,-1,-1
67,361,361,-1,-1,-1
67,362,362,-1,-1,-1
67,363,363,-1,-1,-1
68,364,364,-1,-1,-1
68,365,365,-1,-1,-1
69,366,366,-1,-1,-1
69,367,367,-1,-1,-1
69,368,368,-1,-1,-1
69,369,369,-1,-1,-1
69,370,370,-1,-1,-1
69,371,371,-1,-1,-1
70,372,372,-1,-1,-1
70,373,373,-1,-1,-1
71,374,374,-1,-1,-1
71,375,375,-1,-1,-1
72,376,376,-1,-1,-1
72,377,377,-1,-1,-1
72,378,378,-1,-1,-1
72,379,379,-1,-1,-1
72,380,380,-1,-1,-1
72,381,381,-1,-1,-1
73,382,382,-1,-1,-1
73,383,383,-1,-1,-1
73,384,384,-1,-1,-1
73,385,385,-1,-1,-1
73,386,386,-1,-1,-1
73,387,387,-1,-1,-1
73,388,388,-1,-1,-1
73,389,389,-1,-1,-1
73,390,390,-1,-1,-1
73,391,391,-1,-1,-1
73,392,392,-1,-1,-1
73,393,393,-1,-1,-1
73,394,394,-1,-1,-1
73,395,395,-1,-1,-1
73,396,396,-1,-1,-1
73,397,397,-1,-1,-1
73,398,398,-1,-1,-1
73,399,399,-1,-1,-1
73,400,400,-1,-1,-1
73,401,401,-1,-1,-1
73,402,402,-1,-1,-1
73,403,403,-1,-1,-1
73,404,404,-1,-1,-1
73,405,405,-1,-1,-1
73,406,406,-1,-1,-1
73,407,407,-1,-1,-1
73,408,408,-1,-1,-1
73,409,409,-1,-1,-1
73,410,410,-1,-1,-1
73,411,411,-1,-1,-1
74,412,412,-1,-1,-1
74,413,413,-1,-1,-1
74,414,414,-1,-1,-1
74,415,415,-1,-1,-1
74,416,416,-1,-1,-1
74,417,417,-1,-1,-1
75,418,418,-1,-1,-1
75,419,419,-1,-1,-1
75,420,420,-1,-1,-1
75,421,421,-1,-1,-1
75,422,422,-1,-1,-1
75,423,423,-1,-1,-1
76,424,424,-1,-1,-1
77,425,425,-1,-1,-1
77,426,426,-1,-1,-1
77,427,427,-1,-1,-1
77,428,428,-1,-1,-1
77,429,429,-1,-1,-1
78,430,430,-1,-1,-1
79,431,431,-1,-1,-1
79,432,432,-1,-1,-1
80,433,433,-1,-1,-1
80,434,434,-1,-1,-1
80,435,435,-1,-1,-1
80,436,436,-1,-1,-1
80,437,437,-1,-1,-1
81,438,438,-1,-1,-1
81,439,439,-1,-1,-1
81,440,440,-1,-1,-1
81,441,441,-1,-1,-1
81,442,442,-1,-1,-1
81,443,443,-1,-1,-1
81,444,444,-1,-1,-1
81,445,445,-1,-1,-1
81,446,446,-1,-1,-1
81,447,447,-1,-1,-1
81,448,448,-1,-1,-1
81,449,449,-1,-1,-1
81,450,450,-1,-1,-1
81,451,451,-1,-1,-1
81,452,452,-1,-1,-1
81,453,453,-1,-1,-1
81,454,454,-1,-1,-1
81,455,455,-1,-1,-1
81,456,456,-1,-1,-1
81,457,457,-1,-1,-1
81,458,458,-1,-1,-1
81,459,459,-1,-1,-1
81,460,460,-1,-1,-1
81,461,461,-1,-1,-1
81,462,462,-1,-1,-1
82,463,463,-1,-1,-1
82,464,464,-1,-1,-1
82,465,465,-1,-1,-1
82,466,466,-1,-1,-1
82,467,467,-1,-1,-1
83,468,468,-1,-1,-1
83,469,469,-1,-1,-1
83,470,470,-1,-1,-1
83,471,471,-1,-1,-1
83,472,472,-1,-1,-1
84,473,473,-1,-1,-1
85,474,474,-1,-1,-1
86,475,475,-1,-1,-1
87,476,476,-1,-1,-1
88,477,477,-1,-1,-1
88,478,478,-1,-1,-1
89,479,479,-1,-1,-1
90,480,480,-1,-1,-1
91,481,481,-1,-1,-1
91,482,482,-1,-1,-1
91,483,483,-1,-1,-1
91,484,484,-1,-1,-1
91,485,485,-1,-1,-1
92,486,486,-1,-1,-1
93,487,487,-1,-1,-1
93,488,488,-1,-1,-1
94,489,489,-1,-1,-1
94,490,490,-1,-1,-1
94,491,491,-1,-1,-1
94,492,492,-1,-1,-1
94,493,493,-1,-1,-1
95,494,494,-1,-1,-1
95,495,495,-1,-1,-1
95,496,496,-1,-1,-1
95,497,497,-1,-1,-1
95,498,498,-1,-1,-1
95,499,499,-1,-1,-1
95,500,500,-1,-1,-1
95,501,501,-1,-1,-1
95,502,502,-1,-1,-1
95,503,503,-1,-1,-1
95,504,504,-1,-1,-1
95,505,505,-1,-1,-1
95,506,506,-1,-1,-1
95,507,507,-1,-1,-1
95,508,508,-1,-1,-1
95,509,509,-1,-1,-1
95,510,510,-1,-1,-1
95,511,511,-1,-1,-1
95,512,512,-1,-1,-1
95,513,513,-1,-1,-1
95,514,514,-1,-1,-1
95,515,515,-1,-1,-1
95,516,516,-1,-1,-1
95,517,517,-1,-1,-1
95,518,518,-1,-1,-1
96,519,519,-1,-1,-1
96,520,520,-1,-1,-1
96,521,521,-1,-1,-1
96,522,522,-1,-1,-1
96,523,523,-1,-1,-1
97,524,524,-1,-1,-1
97,525,525,-1,-1,-1
97,526,526,-1,-1,-1
97,527,527,-1,-1,-1
97,528,528,-1,-1,-1
98,529,529,-1,-1,-1
99,530,530,-1,-1,-1
100,531,531,-1,-1,-1
101,532,532,-1,-1,-1
102,533,533,-1,-1,-1
103,534,534,-1,-1,-1
104,535,535,-1,-1,-1
105,536,536,-1,-1,-1
105,537,537,-1,-1,-1
105,538,538,-1,-1,-1
105,539,539,-1,-1,-1
105,540,540,-1,-1,-1
106,541,541,-1,-1,-1
107,542,542,-1,-1,-1
107,543,543,-1,-1,-1
108,544,544,-1,-1,-1
108,545,545,-1,-1,-1
108,546,546,-1,-1,-1
108,547,547,-1,-1,-1
108,548,548,-1,-1,-1
109,549,549,-1,-1,-1
109,550,550,-1,-1,-1
109,551,551,-1,-1,-1
109,552,552,-1,-1,-1
109,553,553,-1,-1,-1
109,554,554,-1,-1,-1
109,555,555,-1,-1,-1
109,556,556,-1,-1,-1
109,557,557,-1,-1,-1
109,558,558,-1,-1,-1
109,559,559,-1,-1,-1
109,560,560,-1,-1,-1
109,561,561,-1,-1,-1
109,562,562,-1,-1,-1
109,563,563,-1,-1,-1
109,564,564,-1,-1,-1
109,565,565,-1,-1,-1
109,566,566,-1,-1,-1
109,567,567,-1,-1,-1
109,568,568,-1,-1,-1
109,569,569,-1,-1,-1
109,570,570,-1,-1,-1
109,571,571,-1,-1,-1
