name,author,recipeingredient,recipeyield,preptime,totaltime
382,-1,-1,296,240,272
383,-1,-1,297,240,273
384,-1,-1,298,241,274
385,-1,-1,299,242,275
386,-1,-1,299,242,276
387,-1,-1,-1,-1,-1
388,-1,-1,300,242,277
389,-1,-1,300,243,278
390,-1,-1,301,-1,-1
391,-1,-1,-1,-1,279
392,-1,-1,302,244,280
393,-1,-1,-1,-1,-1
394,-1,-1,303,245,281
395,-1,-1,304,246,282
396,-1,-1,305,246,-1
397,-1,-1,306,247,283
398,-1,-1,307,-1,284
399,-1,-1,308,247,285
400,-1,-1,309,247,286
401,-1,-1,310,248,287
402,-1,-1,311,249,288
403,-1,-1,-1,-1,-1
404,-1,-1,312,250,289
405,-1,-1,313,251,290
406,-1,-1,314,252,291
407,-1,-1,315,253,292
408,-1,-1,315,254,293
409,-1,-1,316,-1,294
410,-1,-1,317,255,294
411,-1,-1,318,256,-1
412,-1,-1,319,-1,-1
413,-1,-1,320,256,295
414,-1,-1,321,257,295
415,-1,-1,322,258,296
416,-1,-1,323,259,297
417,-1,-1,-1,-1,-1
418,-1,-1,324,-1,-1
419,-1,-1,324,260,298
420,-1,-1,325,261,299
421,-1,-1,326,262,300
422,-1,-1,327,262,301
423,-1,-1,328,-1,302
424,-1,-1,-1,-1,-1
425,-1,-1,328,263,303
426,-1,-1,-1,-1,-1
427,-1,-1,328,264,-1
428,-1,-1,-1,-1,-1
429,-1,-1,329,265,304
430,-1,-1,330,266,304
431,-1,-1,331,267,-1
432,-1,-1,332,268,305
433,-1,-1,333,268,306
434,-1,-1,334,269,307
435,-1,-1,-1,-1,-1
436,-1,-1,335,270,308
437,-1,-1,336,-1,-1
438,-1,-1,337,271,309
439,-1,-1,338,-1,-1
440,-1,-1,339,271,310
441,-1,-1,-1,-1,-1
442,-1,-1,340,272,311
443,-1,-1,341,273,312
444,-1,-1,342,274,313
445,-1,-1,343,275,314
446,-1,-1,344,-1,-1
447,-1,-1,345,-1,-1
448,-1,-1,346,276,315
449,-1,-1,347,-1,-1
450,-1,-1,348,277,316
451,-1,-1,349,278,317
452,-1,-1,350,279,318
453,-1,-1,-1,-1,-1
454,-1,-1,351,280,319
455,-1,-1,352,281,320
456,-1,-1,353,281,320
457,-1,-1,-1,282,321
458,-1,-1,354,283,322
459,-1,-1,355,284,323
460,-1,-1,356,285,324
461,-1,-1,357,285,325
462,-1,-1,358,285,326
463,-1,-1,359,286,327
464,-1,-1,359,287,-1
465,-1,-1,360,287,328
466,-1,-1,361,288,329
467,-1,-1,362,-1,-1
468,-1,-1,363,-1,330
469,-1,-1,364,288,331
470,-1,-1,365,288,332
471,-1,-1,366,289,333
472,-1,-1,367,290,334
473,-1,-1,368,291,335
474,-1,-1,369,292,336
475,-1,-1,370,293,337
476,-1,-1,-1,294,338
477,-1,-1,-1,-1,-1
478,-1,-1,371,295,339
479,-1,-1,372,295,340
480,-1,-1,373,296,340
481,-1,-1,374,297,341
482,-1,-1,375,297,342
483,-1,-1,-1,-1,-1
484,-1,-1,376,298,343
485,-1,-1,377,299,344
486,-1,-1,-1,-1,345
487,-1,-1,378,-1,346
488,-1,-1,-1,-1,-1
489,-1,-1,-1,-1,-1
490,-1,-1,379,-1,-1
491,-1,-1,380,300,347
492,-1,-1,-1,-1,-1
493,-1,-1,381,-1,348
494,-1,-1,382,300,349
495,-1,-1,-1,301,350
496,-1,-1,-1,-1,-1
497,-1,-1,383,302,351
498,-1,-1,384,303,352
499,-1,-1,385,304,353
500,-1,-1,386,-1,-1
501,-1,-1,387,305,353
502,-1,-1,388,306,354
503,-1,-1,389,307,355
504,-1,-1,389,307,355
505,-1,-1,390,307,356
506,-1,-1,391,-1,-1
507,-1,-1,-1,-1,-1
508,-1,-1,392,308,357
509,-1,-1,393,309,358
510,-1,-1,394,310,359
511,-1,-1,395,-1,360
512,-1,-1,396,311,361
513,-1,-1,396,312,362
514,-1,-1,-1,-1,-1
515,-1,-1,397,312,363
516,-1,-1,398,-1,364
517,-1,-1,399,-1,-1
518,-1,-1,400,313,-1
519,-1,-1,401,-1,-1
520,-1,-1,402,314,365
521,-1,-1,403,315,366
522,-1,-1,404,316,367
523,-1,-1,405,317,368
524,-1,-1,406,-1,369
525,-1,-1,407,318,370
526,-1,-1,408,319,-1
527,-1,-1,-1,320,371
528,-1,-1,409,321,-1
529,-1,-1,410,322,372
530,-1,-1,411,-1,373
531,-1,-1,412,323,374
532,-1,-1,-1,-1,-1
533,-1,-1,413,324,375
534,-1,-1,414,325,376
535,-1,-1,415,326,377
536,-1,-1,416,-1,378
537,-1,-1,417,327,379
538,-1,-1,418,-1,-1
539,-1,-1,419,328,380
540,-1,-1,420,-1,381
541,-1,-1,421,328,382
542,-1,-1,421,329,383
543,-1,-1,422,330,384
544,-1,-1,423,331,385
545,-1,-1,424,332,-1
546,-1,-1,425,-1,-1
547,-1,-1,426,333,386
548,-1,-1,427,334,387
549,-1,-1,428,335,388
550,-1,-1,429,336,389
551,-1,-1,430,337,390
552,-1,-1,430,338,391
553,-1,-1,431,339,392
554,-1,-1,432,-1,-1
555,-1,-1,433,340,393
556,-1,-1,434,341,-1
557,-1,-1,435,-1,394
558,-1,-1,-1,-1,-1
559,-1,-1,436,342,395
560,-1,-1,437,343,396
561,-1,-1,438,344,397
562,-1,-1,439,345,398
563,-1,-1,440,346,399
564,-1,-1,441,347,-1
565,-1,-1,442,348,400
566,-1,-1,443,-1,401
567,-1,-1,444,349,402
568,-1,-1,445,-1,403
569,-1,-1,446,350,404
570,-1,-1,447,350,405
571,-1,-1,-1,-1,-1
572,-1,-1,448,350,406
573,-1,-1,449,-1,-1
574,-1,-1,-1,-1,-1
575,-1,-1,450,351,407
576,-1,-1,451,352,408
577,-1,-1,452,-1,-1
578,-1,-1,453,353,409
579,-1,-1,454,-1,-1
580,-1,-1,455,354,410
581,-1,-1,456,-1,-1
582,-1,-1,-1,-1,-1
583,-1,-1,457,355,411
584,-1,-1,458,356,412
585,-1,-1,-1,-1,-1
586,-1,-1,459,-1,-1
587,-1,-1,460,357,413
588,-1,-1,-1,358,414
589,-1,-1,461,-1,-1
590,-1,-1,462,358,415
591,-1,-1,463,358,416
592,-1,-1,464,359,417
593,-1,-1,465,360,418
594,-1,-1,465,361,419
595,-1,-1,466,362,420
596,-1,-1,466,-1,-1
597,-1,-1,467,-1,-1
598,-1,-1,468,362,421
599,-1,-1,469,362,422
600,-1,-1,470,363,-1
601,-1,-1,471,364,423
602,-1,-1,472,365,424
603,-1,-1,-1,365,-1
604,-1,-1,473,366,425
605,-1,-1,474,367,426
606,-1,-1,475,368,427
607,-1,-1,476,369,428
608,-1,-1,477,370,429
609,-1,-1,478,-1,-1
610,-1,-1,478,370,-1
611,-1,-1,479,371,429
612,-1,-1,480,372,-1
