name,author,recipecategory,recipecuisine,aggregaterating,nutrition,suitablefordiet
373,-1,272,176,-1,0,0
374,-1,273,177,-1,0,0
375,-1,274,177,-1,0,0
376,-1,275,177,-1,0,0
377,-1,276,177,-1,0,0
378,-1,277,177,-1,0,0
379,-1,278,177,-1,0,0
380,-1,279,177,-1,0,0
381,-1,280,177,-1,0,0
382,-1,281,178,-1,0,0
383,-1,282,179,-1,0,0
384,-1,282,179,-1,0,0
385,-1,282,179,-1,0,0
386,-1,282,180,-1,0,0
387,-1,282,181,-1,0,0
388,-1,282,181,-1,0,0
389,-1,282,181,-1,0,0
390,-1,282,182,-1,0,0
391,-1,282,183,-1,0,0
392,-1,282,184,-1,0,0
393,-1,282,185,-1,0,0
394,-1,283,186,-1,0,0
395,-1,284,187,-1,0,0
396,-1,285,187,-1,0,0
397,-1,286,187,-1,0,0
398,-1,287,187,-1,0,0
399,-1,288,187,-1,0,0
400,-1,289,187,-1,0,0
401,-1,290,188,-1,0,0
402,-1,291,189,-1,0,0
403,-1,292,189,-1,0,0
404,-1,292,190,-1,0,0
405,-1,293,191,-1,0,0
406,-1,294,191,-1,0,0
407,-1,295,191,-1,0,0
408,-1,296,192,-1,0,0
409,-1,297,193,-1,0,0
410,-1,298,193,-1,0,0
411,-1,299,193,-1,0,0
412,-1,299,193,-1,0,0
413,-1,300,193,-1,0,0
414,-1,300,194,-1,0,0
415,-1,300,195,-1,0,0
416,-1,301,196,-1,0,0
417,-1,301,196,-1,0,0
418,-1,301,196,-1,0,0
419,-1,302,197,-1,0,0
420,-1,303,198,-1,0,0
421,-1,303,198,-1,0,0
422,-1,304,199,-1,0,0
423,-1,305,200,-1,0,0
424,-1,306,200,-1,0,0
425,-1,307,200,-1,0,0
426,-1,307,200,-1,0,0
427,-1,308,201,-1,0,0
428,-1,309,202,-1,0,0
429,-1,310,202,-1,0,0
430,-1,311,202,-1,0,0
431,-1,312,203,-1,0,0
432,2,-1,-1,-1,0,0
433,2,-1,-1,-1,0,0
434,-1,312,204,-1,0,0
435,-1,312,205,-1,0,0
436,-1,313,206,-1,0,0
437,-1,313,206,-1,0,0
438,-1,314,206,-1,0,0
439,-1,315,206,-1,0,0
440,-1,316,207,-1,0,0
441,-1,317,208,-1,0,0
442,-1,317,208,-1,0,0
443,-1,317,208,-1,0,0
444,-1,318,208,-1,0,0
445,-1,318,208,-1,0,0
446,-1,319,208,-1,0,0
447,-1,319,208,-1,0,0
