recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,recipecuisine,nutrition,datemodified
0,0,-1,27,270,267,282,288,210,-1,126
0,0,-1,27,270,268,283,289,211,-1,126
0,0,-1,27,270,268,284,290,211,-1,126
0,0,-1,27,271,268,285,291,212,-1,127
0,0,-1,27,272,269,-1,292,213,-1,128
0,0,-1,27,273,270,286,293,214,-1,128
0,0,-1,27,274,271,-1,294,214,-1,128
0,0,-1,27,275,272,287,295,215,-1,128
0,0,-1,27,275,273,-1,296,-1,-1,129
0,0,-1,27,275,274,-1,297,216,-1,130
0,0,-1,27,276,275,-1,298,217,-1,130
0,0,-1,27,276,276,288,299,218,-1,130
0,0,-1,27,277,277,-1,300,219,-1,130
0,0,-1,27,278,278,289,301,219,-1,130
0,0,-1,27,279,279,290,302,220,-1,130
0,0,-1,27,280,280,291,302,-1,-1,130
0,0,-1,27,281,281,292,302,221,-1,130
0,0,-1,27,282,281,293,303,222,-1,130
0,0,-1,27,-1,282,294,-1,-1,-1,131
0,0,-1,27,283,283,295,304,223,-1,132
0,0,-1,27,284,284,296,305,224,-1,132
0,0,-1,27,285,285,297,306,224,-1,133
0,0,-1,27,-1,286,-1,306,-1,-1,134
0,0,-1,27,285,287,298,307,225,-1,135
0,0,-1,27,286,288,299,308,226,-1,135
0,0,-1,27,287,289,300,309,227,-1,135
0,0,-1,27,288,290,301,310,228,-1,135
0,0,-1,27,-1,291,301,-1,-1,-1,136
0,0,-1,27,289,291,302,310,229,-1,137
0,0,-1,27,290,291,303,311,230,-1,137
0,0,-1,27,291,292,304,312,231,-1,137
0,0,-1,27,292,293,305,312,232,-1,137
0,0,-1,27,292,294,306,313,233,-1,137
0,0,-1,27,293,294,-1,314,233,-1,137
0,0,-1,27,294,295,307,315,233,-1,137
0,0,-1,27,-1,-1,-1,315,-1,-1,138
0,0,-1,27,295,296,308,315,233,-1,139
0,0,-1,27,296,297,309,315,233,-1,139
0,0,-1,27,296,298,310,315,234,-1,139
0,0,-1,27,297,299,311,316,235,-1,139
0,0,-1,27,298,299,312,317,236,-1,139
0,0,-1,27,299,300,313,317,-1,-1,139
0,0,-1,27,300,300,-1,318,237,-1,139
0,0,-1,27,301,301,314,319,238,-1,139
0,0,-1,27,302,302,315,320,239,-1,139
0,0,-1,27,303,302,316,321,239,-1,139
0,0,-1,27,304,303,317,322,240,-1,139
0,0,-1,27,304,304,318,323,241,-1,140
0,0,-1,27,304,305,319,323,241,-1,141
0,0,-1,27,305,306,-1,324,241,-1,142
0,0,-1,27,306,307,320,325,241,-1,143
0,0,-1,27,307,308,321,326,242,-1,144
0,0,-1,27,308,309,-1,327,243,-1,145
0,0,-1,27,309,310,322,328,244,-1,145
0,0,-1,27,-1,311,323,-1,245,-1,146
0,0,-1,27,310,312,324,329,246,-1,147
0,0,-1,27,311,313,325,329,247,-1,147
0,0,-1,27,-1,314,326,330,-1,-1,148
0,0,-1,27,311,315,327,331,248,-1,149
0,0,-1,27,312,316,328,332,249,-1,149
0,0,-1,27,-1,317,329,-1,-1,-1,150
0,0,-1,27,313,318,330,332,250,-1,151
0,0,-1,27,314,319,331,333,251,-1,151
0,0,-1,27,-1,320,332,334,-1,-1,151
0,0,-1,27,314,321,333,335,252,-1,151
0,0,-1,27,315,321,334,335,253,-1,151
0,0,-1,27,316,322,335,336,254,-1,151
0,0,-1,27,317,322,-1,337,254,-1,151
0,0,-1,27,-1,323,336,-1,-1,-1,152
0,0,-1,27,318,324,337,338,255,-1,153
0,0,-1,27,319,325,338,339,256,-1,154
0,0,-1,27,-1,-1,-1,340,-1,-1,154
0,0,-1,27,320,326,339,341,257,-1,155
0,0,-1,27,321,327,340,342,257,-1,155
0,0,-1,27,322,328,341,343,257,-1,155
0,0,-1,27,323,329,-1,344,258,-1,155
0,0,-1,27,324,330,342,345,259,-1,156
0,0,-1,27,325,331,343,346,260,-1,157
0,0,-1,27,326,332,344,347,260,-1,157
0,0,-1,27,327,333,345,348,260,-1,157
0,0,-1,27,328,333,-1,349,261,-1,157
0,0,-1,27,329,334,346,350,262,-1,157
0,0,-1,27,330,335,347,350,263,-1,157
0,0,-1,27,331,336,-1,351,264,-1,157
0,0,-1,27,331,337,348,352,264,-1,157
0,0,-1,27,331,338,349,353,265,-1,157
0,0,-1,27,332,339,-1,354,266,-1,157
0,0,-1,27,333,340,350,355,266,-1,157
0,0,-1,27,334,341,-1,356,266,-1,157
0,0,-1,28,335,342,351,357,266,-1,158
0,0,-1,29,336,343,352,358,266,-1,159
0,0,-1,29,337,344,-1,359,266,-1,159
0,0,-1,29,338,344,353,360,267,-1,159
0,0,-1,29,339,345,354,361,268,-1,159
0,0,-1,30,340,346,354,362,268,-1,159
0,0,-1,31,341,347,355,363,269,-1,159
0,0,-1,31,342,347,-1,364,270,-1,159
0,0,-1,31,-1,348,356,365,-1,-1,160
0,0,-1,31,343,349,-1,366,270,-1,161
0,0,-1,31,344,350,357,367,271,-1,161
0,0,-1,31,345,351,358,368,272,-1,161
0,0,-1,31,346,352,359,369,273,-1,161
0,0,-1,31,346,353,360,369,274,-1,161
0,0,-1,31,347,354,361,370,275,-1,161
0,0,-1,31,348,355,362,371,276,-1,161
0,0,-1,31,349,355,363,372,277,-1,161
0,0,-1,31,350,356,364,373,277,-1,162
0,0,-1,31,351,357,-1,-1,277,-1,163
0,0,-1,31,352,358,365,374,278,-1,163
0,0,-1,31,353,359,366,375,279,-1,163
0,0,-1,31,354,360,367,375,280,-1,163
0,0,-1,31,-1,361,368,-1,-1,-1,164
0,0,-1,31,354,361,-1,376,281,-1,165
0,0,-1,31,355,362,369,377,281,-1,165
0,0,-1,31,356,363,370,378,281,-1,165
0,0,-1,31,357,364,371,379,281,-1,166
0,0,-1,31,358,365,372,380,282,-1,167
0,0,-1,31,359,366,-1,381,283,-1,167
0,0,-1,31,360,367,373,382,284,-1,167
0,0,-1,31,361,368,374,383,285,-1,168
