recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,recipecuisine,aggregaterating,nutrition
-1,0,-1,1606,866,0,1315,1332,1354,0,-1
-1,0,-1,1607,867,0,1316,1333,1355,0,-1
-1,0,-1,1608,868,0,1317,1334,1356,0,-1
-1,0,-1,1609,868,0,1318,1335,1357,0,-1
-1,0,-1,1610,869,0,1319,1336,1358,0,-1
-1,0,-1,1611,870,0,1320,1336,1358,0,-1
-1,0,-1,1612,870,0,1321,1337,1359,0,-1
-1,0,-1,1613,870,0,1322,1338,1360,0,-1
-1,0,-1,1614,870,0,1323,-1,1361,0,-1
30,0,-1,1615,871,0,1324,1339,1361,0,-1
-1,0,-1,1616,872,0,1325,1340,1362,0,-1
-1,0,-1,1617,872,0,1326,1341,1363,0,-1
-1,0,-1,1618,873,0,1327,1342,1364,0,-1
-1,0,-1,1619,874,0,1328,1343,1365,0,-1
-1,0,-1,1620,874,0,-1,1344,1366,0,-1
-1,0,-1,1621,875,0,1328,1345,1367,0,-1
-1,0,-1,1622,876,0,1329,1346,1368,0,-1
-1,0,-1,1623,876,0,1330,1346,1368,0,-1
-1,0,-1,1624,876,0,-1,1347,1369,0,-1
-1,0,-1,1625,877,0,1331,1348,1370,0,-1
-1,0,-1,1626,877,0,1332,1349,1371,0,-1
-1,0,-1,1627,877,0,1333,1350,1372,0,-1
-1,0,-1,1628,877,0,1334,1351,1373,0,-1
-1,0,-1,1629,877,0,-1,1352,1374,0,-1
-1,0,-1,1630,878,0,1335,1353,1375,0,-1
-1,0,-1,1631,878,0,1336,1354,1376,0,-1
-1,0,-1,1632,879,0,1337,1354,1376,0,-1
-1,0,-1,1633,880,0,1338,1355,1377,0,-1
-1,0,-1,1634,881,0,1338,1356,1378,0,-1
31,0,-1,1635,882,0,1339,1356,1378,0,-1
-1,0,-1,1636,883,0,-1,1357,1379,0,-1
-1,0,-1,1637,883,0,1340,1358,1380,0,-1
-1,0,-1,1638,884,0,1340,1359,1381,0,-1
-1,0,-1,1639,885,0,-1,1360,1382,0,-1
-1,0,-1,1640,886,0,1341,1361,1383,0,-1
-1,0,-1,1641,886,0,1342,1362,1384,0,-1
-1,0,-1,1642,887,0,1343,1363,1385,0,-1
-1,0,-1,1643,888,0,1344,1363,1385,0,-1
-1,0,-1,1644,889,0,1345,-1,1386,0,-1
-1,0,-1,1645,890,0,-1,1364,1387,0,-1
-1,0,-1,1646,891,0,1346,1365,1388,0,-1
-1,0,-1,1647,892,0,1347,1366,1389,0,-1
-1,0,-1,1648,892,0,1348,1367,1390,0,-1
-1,0,-1,1649,893,0,1349,-1,1391,0,-1
-1,0,-1,1650,894,0,1350,1368,1392,0,-1
-1,0,-1,1651,895,0,1351,1369,1393,0,-1
-1,0,-1,1652,896,0,1352,-1,1394,0,-1
-1,0,-1,1653,897,0,1353,1370,1395,0,-1
-1,0,-1,1654,898,0,1353,1371,1396,0,-1
-1,0,-1,1655,899,0,1354,1372,1397,0,-1
-1,0,-1,1656,900,0,1355,1373,1398,0,-1
32,0,8,1657,901,0,1356,-1,1399,0,-1
-1,0,-1,1658,901,0,1357,1374,1400,0,-1
-1,0,-1,1659,901,0,1358,1375,1401,0,-1
-1,0,-1,1660,901,0,1359,1375,1401,0,-1
-1,0,-1,1661,901,0,1360,-1,1401,0,-1
-1,0,-1,1662,902,0,1361,1376,1402,0,-1
-1,0,-1,1663,903,0,1362,1377,1403,0,-1
33,0,9,1664,904,0,1363,-1,1404,0,-1
