name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12621,-1,1,-1,3890,-1,-1,-1,-1,1,3864
12622,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12623,-1,1,-1,3891,5562,-1,-1,-1,1,3865
12624,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12625,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12626,-1,1,-1,3892,5563,-1,-1,-1,1,3866
12627,-1,1,-1,-1,-1,809,-1,-1,1,-1
12628,-1,1,-1,-1,5564,810,-1,-1,1,-1
12629,-1,1,-1,3893,5565,811,-1,-1,1,3867
12630,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12631,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12632,-1,1,-1,3894,5565,-1,-1,-1,1,3868
12633,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12634,-1,1,-1,-1,5566,-1,-1,-1,1,-1
12635,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12636,-1,1,-1,3895,5566,-1,-1,-1,1,3869
12637,-1,1,-1,3896,5567,812,-1,-1,1,3870
12638,-1,1,-1,3896,5568,-1,-1,-1,1,3870
12639,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12640,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12641,-1,1,-1,-1,5569,-1,-1,-1,1,-1
12642,-1,1,-1,3897,5570,-1,-1,-1,1,3871
12643,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12644,-1,1,-1,-1,5571,-1,-1,-1,1,-1
12645,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12646,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12647,-1,1,-1,3898,5572,-1,-1,-1,1,3872
12648,-1,1,-1,-1,5573,-1,-1,-1,1,-1
12649,-1,1,-1,3898,5574,-1,-1,-1,1,3872
12650,-1,1,-1,3899,5575,-1,-1,-1,1,3873
12651,-1,1,-1,3900,5575,-1,-1,-1,1,3874
12652,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12653,-1,1,-1,3900,5576,-1,-1,-1,1,3874
12654,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12655,-1,1,-1,-1,-1,813,-1,-1,1,-1
12656,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12657,-1,1,-1,-1,-1,814,-1,-1,1,-1
12658,-1,1,-1,3901,5577,-1,-1,-1,1,3875
12659,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12660,-1,1,-1,-1,5578,-1,-1,-1,1,-1
12661,-1,1,-1,3902,5579,-1,-1,-1,1,3876
12662,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12663,-1,1,-1,3903,5580,-1,-1,-1,1,3877
12664,-1,1,-1,-1,5581,-1,-1,-1,1,-1
12665,-1,1,-1,3904,5581,815,-1,-1,1,3878
12666,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12667,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12668,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12669,-1,1,-1,3905,5582,-1,-1,-1,1,3879
12670,-1,1,-1,3905,5583,-1,-1,-1,1,3879
12671,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12672,-1,1,-1,3906,5584,-1,-1,-1,1,3880
12673,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12674,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12675,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12676,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12677,-1,1,-1,-1,5585,-1,-1,-1,1,-1
12678,-1,1,-1,3907,5586,-1,-1,-1,1,3881
12679,-1,1,-1,-1,5587,-1,-1,-1,1,-1
