author,recipeingredient,preptime,cooktime,aggregaterating
653,-1,-1,-1,-1
654,-1,266,317,-1
655,-1,267,318,-1
656,-1,-1,-1,-1
657,-1,268,319,-1
658,-1,269,320,-1
659,-1,-1,-1,-1
660,-1,270,321,-1
661,-1,270,322,-1
662,-1,-1,-1,-1
663,-1,-1,-1,-1
664,-1,270,323,-1
665,-1,271,324,-1
666,-1,272,325,-1
667,-1,-1,-1,-1
668,-1,-1,-1,-1
669,-1,-1,-1,-1
670,-1,-1,-1,-1
671,-1,-1,-1,-1
672,-1,273,326,-1
673,-1,273,327,-1
674,-1,-1,-1,-1
675,-1,-1,-1,-1
676,-1,274,328,-1
677,-1,-1,-1,-1
678,-1,-1,-1,-1
679,-1,-1,-1,-1
680,-1,275,329,-1
681,-1,-1,-1,-1
682,-1,-1,-1,-1
683,-1,276,330,-1
684,-1,-1,-1,-1
685,-1,277,331,-1
686,-1,277,332,-1
687,-1,278,333,-1
688,-1,278,334,-1
689,-1,-1,-1,-1
690,-1,279,335,-1
691,-1,-1,-1,-1
692,2,280,336,-1
693,-1,-1,-1,-1
694,-1,-1,-1,-1
695,-1,-1,-1,-1
696,-1,280,337,-1
697,-1,-1,-1,-1
698,-1,-1,-1,-1
699,-1,280,338,-1
700,-1,-1,-1,-1
701,-1,281,339,-1
702,-1,282,340,-1
703,-1,283,341,-1
704,-1,-1,-1,-1
705,-1,284,342,-1
706,-1,-1,-1,-1
707,-1,-1,-1,-1
708,-1,-1,-1,-1
709,-1,-1,-1,-1
710,-1,284,343,-1
711,-1,285,344,-1
712,-1,286,345,-1
713,-1,287,346,-1
714,-1,288,347,-1
715,-1,289,348,-1
716,-1,290,-1,-1
717,-1,-1,-1,-1
718,-1,-1,-1,-1
719,-1,291,349,-1
720,-1,292,350,-1
721,-1,293,351,-1
722,-1,-1,-1,-1
723,-1,294,352,-1
724,-1,295,353,-1
724,-1,296,354,-1
725,3,-1,-1,-1
726,-1,-1,-1,-1
727,-1,-1,-1,-1
728,-1,-1,-1,-1
729,-1,297,355,-1
730,-1,-1,-1,-1
731,-1,-1,-1,-1
732,-1,-1,-1,-1
733,-1,298,-1,-1
734,-1,-1,-1,-1
735,-1,299,356,-1
736,-1,300,357,-1
737,-1,301,357,-1
738,-1,302,358,-1
739,-1,-1,-1,-1
740,-1,-1,-1,-1
741,-1,303,359,-1
742,-1,304,-1,-1
743,-1,-1,359,-1
744,4,-1,-1,-1
745,-1,305,360,-1
746,-1,-1,-1,-1
747,-1,306,361,-1
748,-1,307,362,-1
749,-1,-1,-1,-1
750,-1,-1,-1,-1
751,-1,308,363,-1
752,-1,-1,-1,-1
753,-1,309,-1,-1
754,-1,310,364,-1
755,-1,-1,-1,-1
756,-1,311,365,-1
757,-1,-1,-1,-1
758,-1,312,366,-1
759,-1,-1,-1,-1
760,-1,-1,-1,-1
761,-1,313,367,-1
762,-1,-1,-1,-1
763,-1,-1,-1,-1
764,-1,-1,-1,-1
765,-1,-1,-1,-1
766,-1,314,368,-1
767,-1,-1,-1,-1
768,-1,-1,-1,-1
769,-1,-1,-1,-1
770,-1,315,369,-1
771,-1,-1,-1,-1
772,-1,316,370,-1
773,-1,317,371,-1
774,-1,318,372,-1
775,-1,-1,-1,-1
776,-1,-1,-1,-1
777,-1,318,373,-1
778,-1,-1,-1,-1
779,-1,319,374,-1
780,-1,-1,-1,-1
781,-1,-1,-1,-1
-1,-1,320,375,-1
782,-1,321,376,-1
783,-1,321,377,-1
-1,-1,-1,378,-1
784,-1,322,379,-1
785,-1,-1,-1,-1
786,-1,-1,-1,-1
787,-1,-1,-1,-1
788,-1,-1,-1,-1
789,-1,-1,-1,-1
790,-1,323,380,-1
791,-1,-1,-1,-1
792,-1,-1,-1,-1
793,-1,324,381,-1
794,-1,-1,382,-1
795,-1,-1,-1,-1
796,-1,325,383,-1
797,-1,326,384,-1
798,-1,327,385,-1
799,-1,328,386,-1
800,-1,329,387,-1
801,-1,330,388,-1
802,-1,-1,-1,-1
803,-1,330,389,-1
804,-1,-1,-1,-1
805,-1,330,390,-1
806,-1,331,391,-1
807,-1,332,392,-1
808,-1,332,392,-1
809,-1,-1,-1,-1
810,-1,-1,-1,-1
811,-1,-1,-1,-1
812,-1,-1,-1,-1
813,-1,333,393,-1
814,-1,-1,-1,-1
815,-1,334,394,-1
816,-1,-1,395,-1
817,-1,-1,-1,-1
818,-1,-1,-1,-1
819,-1,335,396,-1
820,-1,336,397,-1
821,-1,-1,-1,-1
822,-1,337,398,-1
823,-1,-1,-1,-1
824,-1,338,399,-1
825,-1,-1,-1,-1
826,-1,-1,-1,-1
827,-1,-1,-1,-1
828,-1,-1,400,-1
829,-1,339,401,-1
830,-1,340,402,-1
831,-1,-1,-1,-1
832,-1,341,403,-1
833,-1,-1,-1,-1
834,-1,342,404,-1
835,-1,-1,-1,-1
836,-1,-1,-1,-1
837,-1,-1,-1,-1
838,-1,343,405,-1
839,-1,-1,-1,-1
840,-1,344,406,-1
841,-1,-1,-1,-1
842,-1,345,407,-1
-1,-1,-1,408,-1
843,-1,-1,-1,-1
844,-1,346,409,-1
845,-1,-1,-1,-1
846,-1,-1,-1,-1
847,-1,-1,-1,-1
848,-1,-1,-1,-1
849,-1,347,410,-1
850,-1,-1,-1,-1
851,-1,-1,-1,-1
852,-1,-1,-1,-1
853,-1,-1,-1,-1
854,-1,-1,-1,-1
855,-1,-1,411,-1
856,-1,348,412,-1
857,-1,349,413,-1
858,-1,349,414,-1
859,-1,350,415,-1
860,-1,-1,-1,-1
861,-1,-1,-1,-1
862,-1,-1,-1,-1
863,-1,351,416,-1
864,-1,352,417,-1
865,-1,353,418,-1
866,-1,354,419,-1
