recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,aggregaterating
0,-1,-1,294,251,297,-1
0,-1,-1,294,252,298,-1
0,-1,-1,295,252,299,-1
0,-1,4,296,-1,300,-1
0,-1,-1,297,253,301,-1
0,-1,-1,297,254,302,-1
0,-1,-1,298,254,303,-1
0,-1,-1,299,-1,304,-1
0,-1,-1,300,254,304,-1
0,-1,-1,301,254,305,-1
0,-1,-1,302,-1,306,-1
0,-1,-1,302,255,307,-1
0,-1,-1,303,256,308,-1
0,-1,-1,304,257,308,-1
0,-1,-1,305,257,309,-1
0,-1,-1,306,257,310,-1
0,-1,-1,306,258,311,-1
0,-1,-1,306,259,312,-1
0,-1,-1,307,260,313,-1
0,-1,-1,308,-1,314,-1
0,-1,-1,309,261,315,-1
0,-1,-1,310,262,316,-1
0,-1,-1,311,263,317,-1
0,-1,-1,312,-1,318,-1
0,-1,-1,313,264,318,-1
0,-1,-1,314,264,319,-1
0,-1,-1,315,265,320,-1
0,-1,-1,316,266,321,-1
0,-1,-1,317,267,322,-1
0,-1,-1,318,268,322,-1
0,-1,-1,319,269,322,-1
0,-1,-1,320,-1,323,-1
0,-1,-1,321,269,324,-1
0,-1,-1,322,270,325,-1
0,-1,-1,323,271,326,-1
0,-1,-1,324,271,327,-1
0,-1,-1,325,271,328,-1
0,-1,-1,325,271,328,-1
0,-1,-1,326,272,329,-1
0,-1,-1,327,273,330,-1
0,-1,-1,328,274,331,-1
0,-1,-1,329,275,332,-1
0,-1,-1,329,276,332,-1
0,-1,-1,330,276,333,-1
0,-1,-1,330,277,334,-1
0,-1,-1,331,278,335,-1
0,-1,-1,332,279,336,-1
0,-1,-1,333,-1,337,-1
0,-1,-1,334,-1,338,-1
0,-1,-1,335,279,339,-1
0,-1,-1,336,280,340,-1
0,-1,-1,337,281,341,-1
0,-1,-1,338,281,342,-1
0,-1,-1,339,281,343,-1
0,-1,-1,340,282,344,-1
0,-1,-1,341,283,345,-1
0,-1,-1,342,284,346,-1
0,-1,-1,343,285,346,-1
0,-1,-1,343,286,346,-1
0,-1,-1,344,287,347,-1
0,-1,-1,345,288,348,-1
0,-1,-1,346,-1,348,-1
0,-1,-1,347,289,348,-1
0,-1,-1,348,290,349,-1
0,-1,-1,349,291,350,-1
0,-1,-1,349,292,351,-1
0,-1,-1,350,293,352,-1
0,-1,-1,351,294,353,-1
0,-1,-1,351,294,353,-1
0,-1,-1,352,294,353,-1
0,-1,-1,353,295,353,-1
0,-1,-1,354,296,354,-1
0,-1,-1,355,-1,354,-1
0,-1,-1,356,297,355,-1
0,-1,-1,356,298,356,-1
0,-1,-1,356,298,357,-1
0,-1,-1,357,299,358,-1
0,-1,-1,358,300,359,-1
0,-1,-1,359,-1,360,-1
0,-1,-1,360,301,361,-1
0,-1,-1,361,302,362,-1
0,-1,-1,362,303,363,-1
0,-1,-1,363,304,363,-1
0,-1,-1,364,304,364,-1
0,-1,-1,365,304,365,-1
0,-1,-1,366,305,366,-1
0,-1,-1,366,306,367,-1
0,-1,-1,367,307,368,-1
0,-1,-1,368,308,369,-1
0,-1,-1,368,308,369,-1
0,-1,-1,369,309,370,-1
0,-1,-1,370,310,371,-1
0,-1,-1,370,311,372,-1
0,-1,-1,371,-1,373,-1
0,-1,-1,372,312,374,-1
0,-1,-1,373,313,374,-1
0,-1,-1,374,314,375,-1
0,-1,-1,375,315,376,-1
0,-1,-1,376,315,377,-1
0,-1,-1,377,-1,378,-1
0,-1,-1,378,-1,379,-1
0,-1,-1,379,316,380,-1
0,-1,-1,380,317,381,-1
0,-1,-1,381,318,382,-1
0,-1,-1,382,319,383,-1
0,-1,-1,383,320,383,-1
0,-1,-1,384,321,384,-1
0,-1,-1,385,322,384,-1
0,-1,-1,386,323,385,-1
0,-1,-1,386,323,386,-1
0,-1,-1,387,324,387,-1
0,-1,-1,387,325,387,-1
0,-1,-1,388,326,388,-1
0,-1,-1,389,326,388,-1
0,-1,-1,390,326,389,-1
0,-1,-1,391,327,389,-1
0,-1,-1,392,328,390,-1
0,-1,-1,392,329,391,-1
0,-1,-1,392,330,392,-1
0,-1,-1,392,331,393,-1
0,-1,-1,393,331,394,-1
0,-1,-1,394,332,395,-1
0,-1,-1,395,333,396,-1
0,-1,-1,396,334,397,-1
0,-1,-1,397,335,398,-1
0,-1,-1,398,336,399,-1
0,-1,-1,398,337,399,-1
0,-1,-1,399,-1,400,-1
0,-1,-1,400,-1,400,-1
0,-1,-1,400,338,401,-1
0,-1,-1,401,339,402,-1
0,-1,-1,402,339,403,-1
0,-1,-1,403,339,404,-1
0,-1,-1,404,339,405,-1
0,-1,-1,405,340,406,-1
0,-1,-1,406,341,406,-1
0,-1,-1,407,342,407,-1
0,-1,-1,408,343,408,-1
0,-1,-1,409,344,409,-1
0,-1,-1,410,345,409,-1
0,-1,-1,411,345,410,-1
0,-1,-1,412,346,411,-1
0,-1,-1,413,347,412,-1
0,-1,-1,414,348,413,-1
0,-1,-1,415,349,414,-1
0,-1,-1,415,-1,415,-1
0,-1,-1,416,349,416,-1
0,-1,-1,416,349,417,-1
0,-1,-1,417,-1,418,-1
0,-1,-1,418,-1,419,-1
0,-1,-1,418,350,419,-1
0,-1,-1,419,351,420,-1
0,-1,-1,420,351,421,-1
0,-1,-1,421,352,422,-1
0,-1,-1,422,353,423,-1
0,-1,-1,423,353,424,-1
0,-1,-1,423,354,425,-1
0,-1,-1,424,355,426,-1
0,-1,-1,425,356,427,-1
0,-1,-1,426,356,428,-1
0,-1,-1,427,357,429,-1
0,-1,-1,428,358,430,-1
0,-1,-1,429,359,430,-1
0,-1,-1,429,360,430,-1
0,-1,-1,430,360,431,-1
0,-1,-1,431,361,431,-1
0,-1,-1,432,362,431,-1
0,-1,-1,433,363,432,-1
0,-1,-1,434,364,432,-1
0,-1,-1,434,365,433,-1
0,-1,-1,434,366,433,-1
0,-1,-1,435,367,434,-1
0,-1,-1,436,368,434,-1
0,-1,-1,437,368,435,-1
0,-1,-1,438,369,436,-1
0,-1,-1,438,369,437,-1
0,-1,-1,439,370,437,-1
0,-1,-1,440,371,438,-1
0,-1,-1,440,372,438,-1
0,-1,-1,441,373,439,-1
0,-1,-1,442,373,440,-1
0,-1,-1,443,373,440,-1
0,-1,-1,444,374,441,-1
0,-1,-1,445,374,442,-1
0,-1,-1,446,374,443,-1
0,-1,-1,447,375,444,-1
0,-1,-1,447,375,444,-1
0,-1,-1,448,376,445,-1
0,-1,-1,449,377,446,-1
0,-1,-1,450,378,447,-1
0,-1,-1,451,-1,448,-1
0,-1,-1,452,-1,449,-1
0,-1,-1,453,379,449,-1
0,-1,-1,453,380,449,-1
0,-1,-1,454,-1,450,-1
0,-1,-1,455,381,451,-1
0,-1,-1,456,382,452,-1
0,-1,-1,457,383,453,-1
0,-1,-1,458,-1,453,-1
0,-1,-1,459,384,454,-1
0,-1,-1,460,385,455,-1
0,-1,-1,460,385,456,-1
0,-1,-1,461,386,457,-1
0,-1,-1,462,387,457,-1
0,-1,-1,463,387,458,-1
0,-1,-1,464,388,459,-1
