recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,video,cookingmethod,mainentity,position,reviews
-1,-1,-1,49,-1,66,-1,-1,-1,-1,-1,4,69,-1
-1,-1,-1,49,23,67,14,-1,-1,-1,19,4,70,-1
-1,-1,-1,50,24,68,15,-1,-1,-1,19,4,71,-1
-1,-1,-1,51,25,69,16,-1,-1,-1,-1,4,72,-1
-1,-1,-1,52,26,70,-1,-1,-1,-1,19,4,73,-1
-1,-1,-1,53,27,71,17,-1,-1,-1,19,4,74,-1
-1,-1,-1,53,27,72,-1,-1,-1,-1,20,4,75,-1
-1,-1,-1,53,27,73,-1,-1,-1,-1,-1,4,76,-1
-1,-1,-1,53,27,74,-1,-1,-1,-1,21,4,77,-1
-1,-1,-1,54,27,75,-1,-1,-1,-1,22,4,78,-1
-1,-1,-1,55,27,76,-1,-1,-1,-1,-1,4,79,-1
-1,-1,-1,56,27,77,-1,-1,-1,-1,-1,4,80,-1
-1,-1,-1,57,27,78,-1,-1,-1,-1,23,4,81,-1
-1,-1,-1,58,27,79,-1,-1,-1,-1,-1,4,82,-1
-1,-1,-1,59,27,80,18,-1,-1,-1,23,4,83,-1
-1,-1,-1,60,27,81,-1,-1,-1,-1,-1,4,84,-1
