name,startdate,enddate,description,image,offers
372,416,356,-1,-1,0
373,417,357,96,-1,0
374,418,358,-1,-1,0
375,419,359,96,-1,0
376,420,360,-1,-1,0
377,421,361,-1,-1,0
378,422,362,-1,-1,0
379,423,363,97,-1,0
380,424,364,-1,-1,0
380,425,364,-1,-1,0
381,426,365,98,-1,0
382,427,366,99,-1,0
383,428,367,-1,-1,0
384,429,368,100,-1,0
385,430,369,-1,-1,0
386,431,370,-1,-1,0
387,432,371,100,-1,0
388,433,372,-1,-1,0
389,434,373,-1,-1,0
390,435,374,101,-1,0
391,436,375,-1,-1,0
391,437,375,-1,-1,0
392,438,376,-1,-1,0
392,439,376,-1,-1,0
393,440,377,102,-1,0
394,441,378,-1,-1,0
395,442,379,102,-1,0
396,443,380,103,-1,0
397,444,381,-1,-1,0
398,445,382,-1,-1,0
399,446,383,104,-1,0
400,447,384,-1,-1,0
400,448,384,-1,-1,0
401,449,385,-1,-1,0
402,450,386,104,-1,0
403,451,387,-1,-1,0
404,452,388,-1,-1,0
404,453,388,-1,-1,0
405,454,389,104,-1,0
406,455,390,-1,-1,0
407,456,391,-1,-1,0
408,457,392,104,-1,0
409,458,393,105,-1,0
410,459,394,-1,-1,0
410,460,394,-1,-1,0
411,461,395,106,-1,0
412,461,395,106,-1,0
413,462,396,-1,-1,0
413,463,396,-1,-1,0
414,464,397,107,-1,0
415,465,398,-1,-1,0
416,466,399,108,-1,0
417,467,400,-1,-1,0
418,468,401,-1,-1,0
419,469,402,108,-1,0
420,470,403,-1,-1,0
421,471,404,109,-1,0
422,472,405,-1,-1,0
423,473,406,-1,-1,0
424,474,407,-1,-1,0
425,475,408,110,-1,0
426,476,409,-1,-1,0
427,477,410,-1,-1,0
427,478,410,-1,-1,0
427,479,410,-1,-1,0
428,480,411,111,-1,0
429,481,412,112,-1,0
430,482,413,-1,-1,0
431,483,414,-1,-1,0
432,484,415,113,-1,0
433,485,416,114,-1,0
434,486,417,-1,-1,0
434,487,417,-1,-1,0
435,488,418,-1,-1,0
436,489,419,114,-1,0
437,490,420,-1,-1,0
438,491,421,-1,-1,0
439,492,422,114,-1,0
440,493,423,-1,-1,0
441,494,424,114,-1,0
442,495,425,-1,-1,0
443,496,426,-1,-1,0
444,497,427,115,-1,0
445,498,428,-1,-1,0
445,499,428,-1,-1,0
445,500,428,-1,-1,0
446,501,429,-1,-1,0
447,502,430,116,-1,0
448,503,431,117,-1,0
449,504,432,-1,-1,0
450,505,433,118,-1,0
451,506,434,-1,-1,0
452,507,435,118,-1,0
453,508,436,-1,-1,0
453,509,436,-1,-1,0
454,510,437,-1,-1,0
455,511,438,118,-1,0
456,512,439,119,-1,0
457,513,440,-1,-1,0
458,514,441,119,-1,0
459,515,442,-1,-1,0
460,516,443,120,-1,0
461,516,443,120,-1,0
462,517,444,-1,-1,0
463,518,445,-1,-1,0
463,519,445,-1,-1,0
464,520,446,-1,-1,0
465,521,447,120,-1,0
466,522,448,-1,-1,0
467,523,449,-1,-1,0
467,524,449,-1,-1,0
468,525,450,120,-1,0
469,526,451,-1,-1,0
470,527,452,121,-1,0
471,528,453,-1,-1,0
472,529,454,122,-1,0
473,530,455,123,-1,0
474,531,456,124,-1,0
475,532,457,-1,-1,0
476,533,458,-1,-1,0
476,534,458,-1,-1,0
477,535,459,-1,-1,0
478,536,460,-1,-1,0
479,537,461,-1,-1,0
480,538,462,-1,-1,0
481,539,463,124,-1,0
482,540,464,-1,-1,0
483,541,465,-1,-1,0
484,542,466,125,-1,0
485,543,467,-1,-1,0
486,544,468,126,-1,0
487,545,469,-1,-1,0
488,546,470,126,-1,0
489,547,471,127,-1,0
490,548,472,-1,-1,0
491,549,473,-1,-1,0
491,550,473,-1,-1,0
492,551,474,-1,-1,0
493,552,475,128,-1,0
493,552,475,128,-1,0
494,553,476,-1,-1,0
494,554,476,-1,-1,0
495,555,477,128,-1,0
496,556,478,129,-1,0
497,557,479,-1,-1,0
498,558,480,-1,-1,0
498,559,480,-1,-1,0
499,560,481,130,-1,0
500,561,482,-1,-1,0
501,562,483,130,-1,0
502,563,484,131,-1,0
503,564,485,-1,-1,0
504,565,486,-1,-1,0
504,566,486,-1,-1,0
504,567,486,-1,-1,0
504,568,486,-1,-1,0
504,569,486,-1,-1,0
505,570,487,-1,-1,0
506,571,488,132,-1,0
507,572,489,-1,-1,0
508,573,490,-1,-1,0
509,574,491,132,-1,0
510,575,492,133,-1,0
511,576,493,134,-1,0
512,577,494,-1,-1,0
513,578,495,-1,-1,0
513,579,495,-1,-1,0
513,580,495,-1,-1,0
514,581,496,-1,-1,0
515,582,497,135,-1,0
516,583,498,136,-1,0
517,584,499,-1,-1,0
518,585,500,136,-1,0
519,586,501,-1,-1,0
519,587,501,-1,-1,0
520,588,502,137,-1,0
521,589,503,138,-1,0
522,590,504,-1,-1,0
522,591,504,-1,-1,0
523,592,505,-1,-1,0
524,593,506,-1,-1,0
525,594,507,139,-1,0
526,595,508,140,-1,0
527,596,509,-1,-1,0
527,597,509,-1,-1,0
528,598,510,140,-1,0
529,599,511,-1,-1,0
530,600,512,-1,-1,0
530,601,512,-1,-1,0
531,602,513,140,-1,0
532,602,513,140,-1,0
533,603,514,141,-1,0
534,604,515,-1,-1,0
535,605,516,-1,-1,0
535,606,516,-1,-1,0
536,607,517,-1,-1,0
537,608,518,-1,-1,0
537,609,518,-1,-1,0
538,610,519,141,-1,0
539,611,520,-1,-1,0
539,612,520,-1,-1,0
540,613,521,142,-1,0
541,613,521,142,-1,0
542,614,522,-1,-1,0
543,615,523,142,-1,0
544,616,524,-1,-1,0
545,617,525,-1,-1,0
546,618,526,-1,-1,0
547,619,527,143,-1,0
548,620,528,-1,-1,0
549,621,529,144,-1,0
550,622,530,-1,-1,0
551,623,531,145,-1,0
552,624,532,146,-1,0
553,625,533,-1,-1,0
554,626,534,-1,-1,0
555,627,535,146,-1,0
556,628,536,-1,-1,0
557,629,537,-1,-1,0
557,629,537,-1,-1,0
558,630,538,-1,-1,0
559,631,539,-1,-1,0
560,632,540,-1,-1,0
561,633,541,-1,-1,0
562,634,542,146,-1,0
563,634,542,146,-1,0
564,635,543,147,-1,0
565,636,544,-1,-1,0
566,637,545,147,-1,0
567,638,546,148,-1,0
568,639,547,-1,-1,0
569,640,548,-1,-1,0
570,641,549,-1,-1,0
571,642,550,-1,-1,0
572,643,551,148,-1,0
573,644,552,-1,-1,0
574,645,553,-1,-1,0
574,646,553,-1,-1,0
575,647,554,148,-1,0
576,648,555,-1,-1,0
577,649,556,149,-1,0
578,650,557,150,-1,0
579,651,558,-1,-1,0
580,652,559,-1,-1,0
580,653,559,-1,-1,0
581,654,560,150,-1,0
582,655,561,-1,-1,0
583,656,562,151,-1,0
584,657,563,-1,-1,0
585,658,564,152,-1,0
586,659,565,-1,-1,0
586,659,565,-1,-1,0
587,660,566,-1,-1,0
588,661,567,153,-1,0
589,662,568,-1,-1,0
590,663,569,154,-1,0
591,664,570,-1,-1,0
592,665,571,-1,-1,0
593,666,572,154,-1,0
594,667,573,-1,-1,0
595,668,574,154,-1,0
596,669,575,-1,-1,0
597,670,576,-1,-1,0
598,671,577,154,-1,0
599,672,578,155,-1,0
600,673,579,-1,-1,0
601,674,580,-1,-1,0
601,674,580,-1,-1,0
602,675,581,156,-1,0
603,676,582,-1,-1,0
604,677,583,157,-1,0
605,678,584,-1,-1,0
606,679,585,-1,-1,0
606,680,585,-1,-1,0
607,681,586,158,-1,0
608,682,587,-1,-1,0
609,683,588,158,-1,0
610,684,589,-1,-1,0
610,685,589,-1,-1,0
611,686,590,-1,-1,0
612,687,591,-1,-1,0
613,688,592,158,-1,0
614,689,593,159,-1,0
615,690,594,160,-1,0
616,691,595,-1,-1,0
616,692,595,-1,-1,0
617,693,596,-1,-1,0
617,694,596,-1,-1,0
618,695,597,161,-1,0
619,696,598,-1,-1,0
620,697,599,162,-1,0
621,698,600,-1,-1,0
622,699,601,-1,-1,0
622,700,601,-1,-1,0
622,701,601,-1,-1,0
623,702,602,-1,-1,0
624,703,603,162,-1,0
625,703,603,162,-1,0
626,704,604,163,-1,0
626,704,604,163,-1,0
627,705,605,-1,-1,0
628,706,606,-1,-1,0
628,707,606,-1,-1,0
629,708,607,164,-1,0
630,709,608,-1,-1,0
631,710,609,164,-1,0
632,711,610,-1,-1,0
633,712,611,-1,-1,0
634,713,612,-1,-1,0
635,714,613,164,-1,0
636,715,614,-1,-1,0
637,716,615,-1,-1,0
638,717,616,164,-1,0
639,718,617,165,-1,0
640,719,618,-1,-1,0
640,720,618,-1,-1,0
641,721,619,-1,-1,0
642,722,620,-1,-1,0
643,723,621,166,-1,0
644,724,622,-1,-1,0
645,725,623,-1,-1,0
646,726,624,167,-1,0
647,727,625,168,-1,0
648,727,625,168,-1,0
649,728,626,169,-1,0
650,729,627,-1,-1,0
650,730,627,-1,-1,0
651,731,628,-1,-1,0
652,732,629,170,-1,0
653,733,630,-1,-1,0
653,734,630,-1,-1,0
653,735,630,-1,-1,0
653,736,630,-1,-1,0
653,737,630,-1,-1,0
654,738,631,170,-1,0
655,738,631,170,-1,0
656,739,632,-1,-1,0
656,740,632,-1,-1,0
657,741,633,171,-1,0
658,742,634,-1,-1,0
659,743,635,-1,-1,0
659,744,635,-1,-1,0
660,745,636,171,-1,0
661,746,637,172,-1,0
662,746,637,172,-1,0
663,747,638,-1,-1,0
663,748,638,-1,-1,0
664,749,639,-1,-1,0
665,750,640,172,-1,0
666,751,641,-1,-1,0
667,752,642,-1,-1,0
668,753,643,173,-1,0
669,754,644,174,-1,0
670,755,645,-1,-1,0
670,756,645,-1,-1,0
670,757,645,-1,-1,0
670,758,645,-1,-1,0
671,759,646,-1,-1,0
672,760,647,174,-1,0
673,760,647,174,-1,0
674,761,648,-1,-1,0
675,762,649,-1,-1,0
676,763,650,175,-1,0
677,764,651,-1,-1,0
678,765,652,176,-1,0
679,765,652,176,-1,0
680,766,653,177,-1,0
681,767,654,-1,-1,0
681,768,654,-1,-1,0
682,769,655,-1,-1,0
682,770,655,-1,-1,0
683,771,656,177,-1,0
684,772,657,-1,-1,0
684,773,657,-1,-1,0
685,774,658,178,-1,0
686,775,659,-1,-1,0
686,776,659,-1,-1,0
687,777,660,178,-1,0
688,778,661,-1,-1,0
688,779,661,-1,-1,0
689,780,662,-1,-1,0
690,781,663,-1,-1,0
690,782,663,-1,-1,0
691,783,664,178,-1,0
692,783,664,178,-1,0
693,784,665,-1,-1,0
694,785,666,179,-1,0
695,786,667,-1,-1,0
696,787,668,-1,-1,0
697,788,669,179,-1,0
698,789,670,-1,-1,0
699,790,671,-1,-1,0
700,791,672,180,-1,0
701,791,672,180,-1,0
702,792,673,-1,-1,0
702,793,673,-1,-1,0
703,794,674,-1,-1,0
704,795,675,-1,-1,0
705,796,676,180,-1,0
706,797,677,181,-1,0
707,798,678,182,-1,0
708,799,679,-1,-1,0
709,800,680,-1,-1,0
710,801,681,182,-1,0
711,802,682,183,-1,0
712,803,683,-1,-1,0
713,804,684,-1,-1,0
713,805,684,-1,-1,0
713,806,684,-1,-1,0
714,807,685,-1,-1,0
715,808,686,184,-1,0
716,809,687,-1,-1,0
716,810,687,-1,-1,0
717,811,688,-1,-1,0
718,812,689,184,-1,0
719,812,689,184,-1,0
720,813,690,185,-1,0
721,814,691,-1,-1,0
721,815,691,-1,-1,0
722,816,692,186,-1,0
723,817,693,-1,-1,0
723,818,693,-1,-1,0
724,819,694,-1,-1,0
724,820,694,-1,-1,0
725,821,695,187,-1,0
726,822,696,-1,-1,0
727,823,697,188,-1,0
728,824,698,-1,-1,0
729,825,699,-1,-1,0
730,826,700,189,-1,0
731,827,701,-1,-1,0
732,828,702,190,-1,0
733,828,702,190,-1,0
734,829,703,-1,-1,0
735,830,704,-1,-1,0
735,831,704,-1,-1,0
736,832,705,190,-1,0
737,832,705,190,-1,0
738,833,706,-1,-1,0
739,834,707,-1,-1,0
740,835,708,191,-1,0
741,836,709,-1,-1,0
742,837,710,-1,-1,0
743,838,711,-1,-1,0
744,839,712,-1,-1,0
745,840,713,-1,-1,0
745,841,713,-1,-1,0
746,842,714,192,-1,0
747,843,715,193,-1,0
748,844,716,-1,-1,0
749,845,717,194,-1,0
