recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,1656,-1,1157,1284,-1,1591,347,0,-1,0,0
0,0,-1,1657,-1,1158,-1,-1,1592,347,0,-1,0,0
0,0,-1,1658,-1,1159,1285,229,1593,347,0,-1,0,0
0,0,-1,1659,-1,1160,1286,-1,1594,347,0,-1,0,0
0,0,-1,1660,-1,1161,1287,-1,1595,347,0,-1,0,0
0,0,-1,1661,-1,1162,-1,230,1596,347,0,-1,0,0
0,0,-1,1662,-1,1163,1288,-1,1597,348,0,-1,0,0
0,0,-1,1663,-1,1164,-1,231,1598,349,0,-1,0,0
0,0,-1,1664,-1,1164,1288,-1,1599,350,0,-1,0,0
0,0,-1,1665,-1,1165,1289,232,1600,351,0,-1,0,0
0,0,-1,1666,-1,1166,1290,-1,1601,352,0,-1,0,0
0,0,-1,1667,-1,1167,1291,-1,1602,-1,0,-1,0,0
0,0,-1,1668,-1,-1,1292,-1,1602,-1,0,-1,0,0
0,0,-1,1669,-1,1167,1293,-1,1603,352,0,-1,0,0
0,0,-1,1670,-1,1168,1294,-1,1604,353,0,-1,0,0
0,0,-1,1671,-1,1168,1295,-1,1605,353,0,-1,0,0
0,0,-1,1672,-1,-1,1296,-1,1606,353,0,-1,0,0
0,0,-1,1673,-1,1169,1297,-1,1606,353,0,-1,0,0
0,0,-1,1674,-1,1170,1297,-1,1607,353,0,-1,0,0
0,0,-1,1675,-1,1170,1298,233,1608,353,0,-1,0,0
0,0,-1,1676,-1,1170,1299,-1,1609,353,0,-1,0,0
0,0,-1,1677,-1,1170,1300,-1,1610,353,0,-1,0,0
0,0,-1,1678,-1,1170,1301,-1,1611,353,0,-1,0,0
0,0,-1,1679,-1,1170,1302,-1,1612,353,0,-1,0,0
0,0,-1,1680,-1,1170,1303,-1,1613,353,0,-1,0,0
0,0,-1,1681,-1,1171,1304,234,1614,354,0,-1,0,0
0,0,-1,1682,-1,1172,-1,235,1615,355,0,-1,0,0
0,0,-1,1683,-1,1173,1305,-1,1616,356,0,-1,0,0
0,0,-1,1684,-1,1174,1305,-1,1617,357,0,-1,0,0
0,0,-1,1685,-1,1175,-1,235,1618,357,0,-1,0,0
0,0,-1,1686,-1,1176,1306,-1,1619,357,0,-1,0,0
0,0,-1,1687,-1,1177,1307,-1,1620,357,0,-1,0,0
0,0,-1,1688,-1,1178,-1,-1,1621,-1,0,-1,0,0
0,0,-1,1689,-1,1179,1307,-1,1622,-1,0,-1,0,0
0,0,-1,1690,-1,1180,1308,-1,1623,-1,0,-1,0,0
0,0,-1,1691,-1,1181,1309,-1,1624,357,0,-1,0,0
0,0,-1,1692,-1,1182,1310,-1,1625,357,0,-1,0,0
0,0,-1,1693,-1,1183,1310,-1,1626,357,0,-1,0,0
0,0,-1,1694,-1,1183,1311,-1,1627,357,0,-1,0,0
0,0,-1,1695,-1,1184,1312,-1,1628,357,0,-1,0,0
0,0,-1,1696,-1,1184,1313,-1,1629,-1,0,-1,0,0
0,0,-1,1697,-1,1184,1314,-1,1630,357,0,-1,0,0
0,0,-1,1698,-1,1185,1315,236,1631,357,0,-1,0,0
0,0,-1,1699,-1,1185,1316,-1,1632,357,0,-1,0,0
0,0,-1,1700,-1,1186,1317,-1,1633,357,0,-1,0,0
0,0,-1,1701,-1,1187,1318,-1,1634,357,0,-1,0,0
0,0,-1,1702,-1,1188,1319,-1,1635,357,0,-1,0,0
0,0,-1,1703,-1,1189,1320,-1,1636,357,0,-1,0,0
0,0,-1,1704,-1,1189,1321,-1,1637,357,0,-1,0,0
0,0,-1,1705,-1,1189,1322,-1,1638,357,0,-1,0,0
0,0,-1,1706,-1,1189,1323,-1,1639,357,0,-1,0,0
